臥	卧	wò	to lie/to crouch
仰臥式	仰卧式	yǎng wò shì	corpse pose (yoga)
仰臥起坐	仰卧起坐	yǎng wò qǐ zuò	sit-up (physical exercise)
伏臥	伏卧	fú wò	lying down/to lie prostrate/prone
俯臥	俯卧	fǔ wò	to lie prone
俯臥撐	俯卧撑	fǔ wò chēng	press-up (physical exercise)/push-up
倒臥	倒卧	dǎo wò	to lie down/to drop dead
側臥	侧卧	cè wò	to lie on one's side
僵臥	僵卧	jiāng wò	to lie rigid and motionless
和衣而臥	和衣而卧	hé yī ér wò	to lie down to sleep with one's clothes on
坐臥不寧	坐卧不宁	zuò wò bù nìng	to be restless
抵足而臥	抵足而卧	dǐ zú ér wò	lit. to live and sleep together (idiom); fig. a close friendship
橫臥	横卧	héng wò	to recline
橫躺豎臥	横躺竖卧	héng tǎng shù wò	to lie down all over the place/exhausted and in disarray
盤龍臥虎	盘龙卧虎	pán lóng wò hǔ	lit. coiled dragon, crouching tiger (idiom)/fig. talented individuals in hiding/concealed talent
硬臥	硬卧	yìng wò	hard sleeper (a type of sleeper train ticket class with a harder bunk)
仰臥	仰卧	yǎng wò	to lie supine
臥不安	卧不安	wò bù ān	restless insomnia
臥位	卧位	wò wèi	berth
臥佛	卧佛	wò fó	reclining Buddha
臥倒	卧倒	wò dǎo	to lie down/to drop to the ground
臥內	卧内	wò nèi	bedroom
臥具	卧具	wò jù	bedding
臥室	卧室	wò shì	bedroom/CL:間|间[jiān]
臥床	卧床	wò chuáng	to lie in bed/bedridden/bed
臥底	卧底	wò dǐ	to hide (as an undercover agent)/an insider (in a gang of thieves)/a mole
臥式	卧式	wò shì	lying/horizontal
臥房	卧房	wò fáng	bedroom/a sleeping compartment (on a train)
臥推	卧推	wò tuī	bench press
臥果兒	卧果儿	wò guǒ r5	a poached egg
臥榻	卧榻	wò tà	a couch/a narrow bed
臥槽	卧槽	wò cáo	(Internet slang) (substitute for 我肏[wǒ cào]) fuck/WTF
臥病	卧病	wò bìng	ill in bed/bed-ridden
臥艙	卧舱	wò cāng	sleeping cabin on a boat or train
臥草	卧草	wò cǎo	(substitute for 我肏[wǒ cào]) fuck/WTF/(soccer) to waste time by feigning injury
臥薪嘗膽	卧薪尝胆	wò xīn cháng dǎn	lit. to sleep on brushwood and taste gall (like King Gou Jian of Yue 勾踐|勾践[Gōu Jiàn]), in order to recall one's humiliations) (idiom)/fig. to maintain one's resolve for revenge
臥薪嚐膽	卧薪尝胆	wò xīn cháng dǎn	lit. to lie on firewood and taste gall (idiom); fig. suffering patiently, but firmly resolved on revenge
臥虎	卧虎	wò hǔ	crouching tiger/fig. major figure in hiding/concealed talent
臥虎藏龍	卧虎藏龙	Wò hǔ Cáng lóng	Crouching Tiger, Hidden Dragon, movie by Ang Lee 李安[Lǐ Ān]
臥虎藏龍	卧虎藏龙	wò hǔ cáng lóng	lit. hidden dragon, crouching tiger (idiom)/fig. talented individuals in hiding/concealed talent
臥蠶	卧蚕	wò cán	plump lower eyelids (considered to be an attractive feature)
臥車	卧车	wò chē	(railroad) sleeping car
臥軌	卧轨	wò guǐ	to lie across the railway tracks (to commit suicide or to prevent trains from getting through)
臥鋪	卧铺	wò pù	a bed (on a train)/a couchette
臥龍	卧龙	Wò lóng	nickname of Zhuge Liang 諸葛亮|诸葛亮/Wolong giant panda nature reserve 臥龍大熊貓保護區|卧龙大熊猫保护区 in Wenchuan county, northwest Sichuan/Wolong district of Nanyang city 南陽|南阳[Nán yáng], Henan
臥龍	卧龙	wò lóng	lit. hidden dragon/fig. emperor in hiding
臥龍區	卧龙区	Wò lóng qū	Wolong district of Nanyang city 南陽|南阳[Nán yáng], Henan
臥龍大熊貓保護區	卧龙大熊猫保护区	wò lóng dà xióng māo bǎo hù qū	Wolong giant panda nature reserve in Wenchuan county, northwest Sichuan
臥龍崗	卧龙岗	Wò lóng gǎng	Wollongong, Australia
臥龍自然保護區	卧龙自然保护区	Wò lóng zì rán bǎo hù qū	Wolong nature reserve in Wenchuan county, northwest Sichuan, home of the giant panda 大熊貓|大熊猫
莫臥兒王朝	莫卧儿王朝	Mò wò ér Wáng cháo	Mughal or Mogul Dynasty (1526-1858)
藏龍臥虎	藏龙卧虎	cáng lóng wò hǔ	lit. hidden dragon, crouching tiger (idiom)/fig. talented individuals in hiding/concealed talent
蜷臥	蜷卧	quán wò	to curl up/to lie curled up
被臥	被卧	bèi wo	quilt/cover
軟臥	软卧	ruǎn wò	soft sleeper (a type of sleeper train ticket class with a softer bunk)
食荼臥棘	食荼卧棘	shí tú wò jí	to eat bitter fruit and lie on thorns (idiom); to share the hard life of the common people
