犁	犁	lí	plow
伊犁	伊犁	Yī lí	the Ili river basin around Turpan in Xinjiang/abbr. for 伊犁哈薩克自治州|伊犁哈萨克自治州[Yī lí Hā sà kè zì zhì zhōu], Ili Kazakh autonomous prefecture
伊犁哈薩克自治州	伊犁哈萨克自治州	Yī lí Hā sà kè zì zhì zhōu	Ili Kazakh autonomous prefecture in Xinjiang
伊犁河	伊犁河	Yī lí Hé	Ili River in central Asia
伊犁盆地	伊犁盆地	Yī lí pén dì	the Yili basin around Urumqi in Xinjiang
多鏵犁	多铧犁	duō huá lí	multishare or multifurrow plow
孫犁	孙犁	Sūn Lí	Sun Li (1913-2002), novelist
尉犁	尉犁	Yù lí	Lopnur nahiyisi or Yuli county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
尉犁縣	尉犁县	Yù lí xiàn	Lopnur nahiyisi or Yuli county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
扒犁	扒犁	pá lí	sledge/also written 爬犁
扶犁	扶犁	fú lí	to put one's hand to the plow
改訂伊犁條約	改订伊犁条约	Gǎi dìng Yī lí Tiáo yuē	Treaty of Saint Petersburg of 1881 in which Russia agreed to hand back Yili province to Qing China in exchange for compensation payment and unequal treaty rights
步犁	步犁	bù lí	walking plow
火犁	火犁	huǒ lí	mechanical plow
爬犁	爬犁	pá lí	sledge
中俄伊犁條約	中俄伊犁条约	Zhōng É Yī lí Tiáo yuē	Treaty of Saint Petersburg of 1881, whereby Russia handed back Yili province to Qing China in exchange for compensation payment and unequal treaty rights
犁地	犁地	lí dì	to plow
犁溝	犁沟	lí gōu	furrow
犁鏵	犁铧	lí huá	plowshare
犁靬	犁靬	Lí jiān	Han dynasty name for countries in far West/may refer to Silk Road states or Alexandria or the Roman empire
犁頭	犁头	lí tóu	plowshare/colter/(dialect) plow
犁骨	犁骨	lí gǔ	vomer bone (in the nose, dividing the nostrils)
耕犁	耕犁	gēng lí	plow
鋤犁	锄犁	chú lí	plow
開犁	开犁	kāi lí	to start plowing/to plow the first furrow
