犢	犊	dú	calf/sacrificial victim
初生之犢不畏虎	初生之犊不畏虎	chū shēng zhī dú bù wèi hǔ	lit. a new-born calf has no fear of the tiger (idiom)/fig. the fearlessness of youth
初生牛犢不怕虎	初生牛犊不怕虎	chū shēng niú dú bù pà hǔ	lit. newborn calves do not fear tigers (idiom)/fig. the young are fearless
帶牛佩犢	带牛佩犊	dài niú pèi dú	to abandon armed struggle and return to raising cattle (idiom)
扯犢子	扯犊子	chě dú zi	(dialect) to talk nonsense/to chat idly
抱犢崮	抱犊崮	Bào dú gù	Mt Baodu in Cangshan county 蒼山縣|苍山县[Cāng shān xiàn], Linyi 臨沂|临沂[Lín yí], south Shandong
滾犢子	滚犊子	gǔn dú zi	(dialect) Beat it!/Scram!/Fuck off!
牛犢	牛犊	niú dú	calf
初生之犢不怕虎	初生之犊不怕虎	chū shēng zhī dú bù pà hǔ	see 初生之犢不畏虎|初生之犊不畏虎[chū shēng zhī dú bù wèi hǔ]
犢子	犊子	dú zi	calf
王八犢子	王八犊子	wáng bā dú zi	see 王八羔子[wáng bā gāo zi]
老牛舐犢	老牛舐犊	lǎo niú shì dú	lit. an old ox licking its calf (idiom)/fig. (of parents) to dote on one's children
舐犢之愛	舐犊之爱	shì dú zhī ài	the love of a cow licking her calf (idiom)/parental love
舐犢情深	舐犊情深	shì dú qíng shēn	lit. the cow licking its calf fondly (idiom)/fig. to show deep affection towards one's children
護犢子	护犊子	hù dú zi	(of a woman) to be fiercely protective of one's children
