員	员	yuán	person/employee/member
中共中央紀律檢查委員會	中共中央纪律检查委员会	Zhōng Gòng Zhōng yāng Jì lǜ Jiǎn chá Wěi yuán huì	Disciplinary Committee of Chinese Communist Party
中國保險監督管理委員會	中国保险监督管理委员会	Zhōng guó Bǎo xiǎn Jiān dū Guǎn lǐ Wěi yuán huì	China Insurance Regulatory Commission (CIRC)
中國共產黨中央委員會	中国共产党中央委员会	Zhōng guó Gòng chǎn dǎng Zhōng yāng Wěi yuán huì	Central Committee of the Communist Party of China, abbr. to 中共中央[Zhōng Gòng Zhōng yāng]
中國共產黨中央委員會宣傳部	中国共产党中央委员会宣传部	Zhōng guó Gòng chǎn dǎng Zhōng yāng Wěi yuán huì Xuān chuán bù	Propaganda Department of the Communist Party of China
中國國民黨革命委員會	中国国民党革命委员会	Zhōng guó Guó mín dǎng Gé mìng Wěi yuán huì	Revolutionary Committee of the Kuomintang
中國國際貿易促進委員會	中国国际贸易促进委员会	Zhōng guó Guó jì Mào yì Cù jìn Wěi yuán huì	China Council for the Promotion of International Trade (CCPIT)
中國證券監督管理委員會	中国证券监督管理委员会	Zhōng guó Zhèng quàn Jiān dū Guǎn lǐ Wěi yuán huì	China Securities Regulatory Commission (CSRC)/abbr. to 證監會|证监会[Zhèng jiān huì]
中國銀行業監督管理委員會	中国银行业监督管理委员会	Zhōng guó Yín háng yè Jiān dū Guǎn lǐ Wěi yuán huì	China Banking Regulatory Commission (CBRC)
中央執行委員會	中央执行委员会	Zhōng yāng Zhí xíng Wěi yuán huì	Central Executive Committee
中央委員會	中央委员会	Zhōng yāng Wěi yuán huì	Central Committee
中央軍事委員會	中央军事委员会	Zhōng yāng Jūn shì Wěi yuán huì	(PRC) Central Military Commission
主管人員	主管人员	zhǔ guǎn rén yuán	executive
乘務員	乘务员	chéng wù yuán	attendant on an airplane, train, boat etc
交易員	交易员	jiāo yì yuán	dealer/trader
交通協管員	交通协管员	jiāo tōng xié guǎn yuán	traffic warden
人員	人员	rén yuán	staff/crew/personnel/CL:個|个[gè]
作戰失蹤人員	作战失踪人员	zuò zhàn shī zōng rén yuán	missing in action (MIA) (military)
使領官員	使领官员	shǐ lǐng guān yuán	ambassador and consul/diplomat
保全員	保全员	bǎo quán yuán	(Tw) security guard
保安人員	保安人员	bǎo ān rén yuán	security personnel/member of police force
保管員	保管员	bǎo guǎn yuán	custodian/storeroom clerk
偵察員	侦察员	zhēn chá yuán	detective/investigator/scout/spy
傳達員	传达员	chuán dá yuán	usher/receptionist
傷員	伤员	shāng yuán	wounded person
傷殘人員	伤残人员	shāng cán rén yuán	the injured/wounded personnel
傷病員	伤病员	shāng bìng yuán	the sick and the wounded
僑務委員會	侨务委员会	Qiáo wù Wěi yuán huì	Overseas Chinese Affairs Council, Taiwan
全員	全员	quán yuán	complete personnel/fully manned
全國人民代表大會常務委員會	全国人民代表大会常务委员会	Quán guó Rén mín Dài biǎo Dà huì Cháng wù Wěi yuán huì	Standing Committee of the National People's Congress
全體人員	全体人员	quán tǐ rén yuán	crew
公務人員	公务人员	gōng wù rén yuán	government functionary
公務員	公务员	gōng wù yuán	functionary/office-bearer
公安官員	公安官员	gōng ān guān yuán	public safety officials
公職人員	公职人员	gōng zhí rén yuán	official employee/government official
共產黨員	共产党员	Gòng chǎn dǎng yuán	Communist Party member
兵員	兵员	bīng yuán	soldiers/troops
冗員	冗员	rǒng yuán	excess personnel/superfluous staff
冷湖行政委員會	冷湖行政委员会	Lěng hú xíng zhèng wěi yuán huì	Lenghu county level subdivision of Haixi Mongol and Tibetan autonomous prefecture 海西蒙古族藏族自治州[Hǎi xī Měng gǔ zú Zàng zú zì zhì zhōu], Qinghai
出納員	出纳员	chū nà yuán	cashier/teller/treasurer
分析員	分析员	fēn xī yuán	analyst (e.g. of news)
列車員	列车员	liè chē yuán	train attendant
副駕駛員	副驾驶员	fù jià shǐ yuán	co-pilot/second driver
動員	动员	dòng yuán	to mobilize/to arouse/mobilization/CL:次[cì],個|个[gè]
動員令	动员令	dòng yuán lìng	order of mobilization
勞務人員	劳务人员	láo wù rén yuán	contract workers (sent abroad)
勤務員	勤务员	qín wù yuán	odd job man/army orderly
協管員	协管员	xié guǎn yuán	assistant manager/steward
協調員	协调员	xié tiáo yuán	coordinator
去臺人員	去台人员	qù Tái rén yuán	those who left China for Taiwan before the founding of PRC in 1949
參議員	参议员	cān yì yuán	senator
口譯員	口译员	kǒu yì yuán	interpreter/oral translator
司令員	司令员	sī lìng yuán	commander
司售人員	司售人员	sī shòu rén yuán	bus crew/driver and conductor
司法人員	司法人员	sī fǎ rén yuán	judicial officer
司線員	司线员	sī xiàn yuán	line judge (tennis etc)
下議院議員	下议院议员	xià yì yuàn yì yuán	Member of Parliament (MP) (UK Politics)
員外	员外	yuán wài	landlord (old usage)
員山	员山	Yuán shān	Yuanshan township in Yilan county 宜蘭縣|宜兰县[Yí lán xiàn], Taiwan
員山鄉	员山乡	Yuán shān xiāng	Yuanshan township in Yilan county 宜蘭縣|宜兰县[Yí lán xiàn], Taiwan
員工	员工	yuán gōng	staff/personnel/employee
員林	员林	Yuán lín	Yuanlin town in Changhua county 彰化縣|彰化县[Zhāng huà xiàn], Taiwan
員林鎮	员林镇	Yuán lín zhèn	Yuanlin town in Changhua county 彰化縣|彰化县[Zhāng huà xiàn], Taiwan
員警	员警	yuán jǐng	police officer/policeman
售票員	售票员	shòu piào yuán	ticket seller
售貨員	售货员	shòu huò yuán	salesperson/CL:個|个[gè]
國務委員	国务委员	guó wù wěi yuán	member of State Council (in China)
國務院國有資產監督管理委員會	国务院国有资产监督管理委员会	Guó wù yuàn Guó yǒu Zī chǎn Jiān dū Guǎn lǐ Wěi yuán huì	State-owned Assets Supervision and Administration Commission of State Council (SASAC)/abbr. to 國資委|国资委[Guó Zī Wěi]
國家文物委員會	国家文物委员会	Guó jiā Wén wù Wěi yuán huì	National Committee of Cultural Heritage
國家文物鑒定委員會	国家文物鉴定委员会	Guó jiā Wén wù Jiàn dìng Wěi yuán huì	National Commission for the Identification of Cultural Heritage
國家標準化管理委員會	国家标准化管理委员会	Guó jiā Biāo zhǔn huà Guǎn lǐ Wěi yuán huì	Standardization Administration of PRC (SAC)
國家留學基金管理委員會	国家留学基金管理委员会	Guó jiā Liú xué Jī jīn Guǎn lǐ Wěi yuán huì	China Scholarship Council (CSC)
國家發展和改革委員會	国家发展和改革委员会	Guó jiā Fā zhǎn hé Gǎi gé Wěi yuán huì	PRC National Development and Reform Commission (NDRC), formed in 2003
國家發展計劃委員會	国家发展计划委员会	Guó jiā Fā zhǎn Jì huà Wěi yuán huì	PRC State Development and Planning Committee, set up 1998 to replace State Planning Committee 國家計劃委員會|国家计划委员会, replaced in 2003 by National Development and Reform Commission 國家發展和改革委員會|国家发展和改革委员会
國家監察委員會	国家监察委员会	Guó jiā Jiān chá Wěi yuán huì	National Supervision Commission of the PRC, anti-corruption agency established in 2018
國家經濟貿易委員會	国家经济贸易委员会	Guó jiā Jīng jì Mào yì Wěi yuán huì	State Economic and Trade Commission (SETC)
國家計劃委員會	国家计划委员会	Guó jiā Jì huà Wěi yuán huì	PRC State Planning Committee, set up in 1952, replaced in 1998 by State Development and Planning Committee 國家發展計劃委員會|国家发展计划委员会[Guó jiā Fā zhǎn Jì huà Wěi yuán huì] then in 2003 by National Development and Reform Commission 國家發展和改革委員會|国家发展和改革委员会[Guó jiā Fā zhǎn hé Gǎi gé Wěi yuán huì]
國家軍品貿易管理委員會	国家军品贸易管理委员会	Guó jiā Jūn pǐn Mào yì Guǎn lǐ Wěi yuán huì	State Administration Committee on Military Products Trade (SACMPT)
國家電力監管委員會	国家电力监管委员会	Guó jiā Diàn lì Jiān guǎn Wěi yuán huì	State Electricity Regulatory Commission (PRC)
國會議員	国会议员	guó huì yì yuán	member of congress/congressman
國有資產監督管理委員會	国有资产监督管理委员会	Guó yǒu Zī chǎn Jiān dū Guǎn lǐ Wěi yuán huì	State-owned Assets Supervision and Administration Commission SASAC
國防科學技術工業委員會	国防科学技术工业委员会	Guó fáng Kē xué Jì shù Gōng yè Wěi yuán huì	Commission for Science, Technology and Industry for National Defense (COSTIND)/abbr. to 國防科工委|国防科工委[Guó fáng Kē Gōng Wěi]
國際奧林匹克委員會	国际奥林匹克委员会	Guó jì Ào lín pǐ kè Wěi yuán huì	International Olympic Committee
國際電報電話咨詢委員會	国际电报电话咨询委员会	Guó jì Diàn bào Diàn huà Zī xún Wěi yuán huì	International Telegraph and Telephone Consultative Committee (CCITT)
圖書管理員	图书管理员	tú shū guǎn lǐ yuán	librarian
圖書館員	图书馆员	tú shū guǎn yuán	librarian
團員	团员	tuán yuán	member/group member
地勤人員	地勤人员	dì qín rén yuán	(airport) ground crew
報務員	报务员	bào wù yuán	telegraph operator/radio operator
報告員	报告员	bào gào yuán	spokesperson/announcer
大員	大员	dà yuán	high official
大柴旦行政委員會	大柴旦行政委员会	Dà chái dàn xíng zhèng wěi yuán huì	Da Qaidam county level subdivision of Haixi Mongol and Tibetan autonomous prefecture 海西蒙古族藏族自治州, Qinghai
