郵	邮	yóu	post (office)/mail
包郵	包邮	bāo yóu	shipping included
南京郵電大學	南京邮电大学	Nán jīng Yóu diàn Dà xué	Nanjing Post and Communications University
回郵信封	回邮信封	huí yóu xìn fēng	self-addressed stamped envelope (SASE)
垃圾郵件	垃圾邮件	lā jī yóu jiàn	junk mail/spam/unsolicited mail
垃圾電郵	垃圾电邮	lā jī diàn yóu	see 垃圾郵件|垃圾邮件[lā jī yóu jiàn]
歌詩達郵輪	歌诗达邮轮	Gē shī dá Yóu lún	Costa Cruises (brand)
每日郵報	每日邮报	Měi rì Yóu bào	Daily Mail (newspaper)
紀念郵票	纪念邮票	jì niàn yóu piào	commemorative postage stamp
紐約郵報	纽约邮报	Niǔ yuē Yóu bào	New York Post (newspaper)
航空郵件	航空邮件	háng kōng yóu jiàn	airmail
航空郵簡	航空邮简	háng kōng yóu jiǎn	aerogram
航郵	航邮	háng yóu	air mail
華盛頓郵報	华盛顿邮报	Huá shèng dùn Yóu bào	Washington Post (newspaper)
萬國郵政聯盟	万国邮政联盟	Wàn guó Yóu zhèng Lián méng	Universal Postal Union
萬國郵聯	万国邮联	Wàn guó yóu lián	Universal Postal Union (UPU)
赫芬頓郵報	赫芬顿邮报	Hè fēn dùn Yóu bào	Huffington Post (US online news aggregator)
通郵	通邮	tōng yóu	to have postal communications
中國郵政	中国邮政	Zhōng guó Yóu zhèng	China Post (Chinese postal service)
郵亭	邮亭	yóu tíng	postal kiosk/(old) rest shelter for couriers
郵件	邮件	yóu jiàn	mail/post/email
郵務士	邮务士	yóu wù shì	mailman (Tw)
郵包	邮包	yóu bāo	postal parcel/parcel
郵匯	邮汇	yóu huì	to remit by post/remittance sent by post
郵區	邮区	yóu qū	postal district
郵品	邮品	yóu pǐn	items issued by a postal service and collected by philatelists (stamps, postcards, first day covers etc)
郵報	邮报	Yóu bào	Post (in the name of a newspaper)
郵寄	邮寄	yóu jì	to mail/to send by post
郵局	邮局	yóu jú	post office/CL:家[jiā],個|个[gè]
郵局編碼	邮局编码	yóu jú biān mǎ	postcode
郵展	邮展	yóu zhǎn	philatelic exhibition
郵差	邮差	yóu chāi	(old) postman
郵市	邮市	yóu shì	philatelic market
郵戳	邮戳	yóu chuō	postmark
郵摺	邮折	yóu zhé	(philately) presentation pack/stamp folder
郵政	邮政	yóu zhèng	postal service/postal
郵政信箱	邮政信箱	yóu zhèng xìn xiāng	post office box
郵政區碼	邮政区码	yóu zhèng qū mǎ	PRC postcode, e.g. 361000 for Xiamen or Amoy 廈門|厦门[Xià mén], Fujian
郵政局	邮政局	yóu zhèng jú	post office
郵政式拼音	邮政式拼音	Yóu zhèng shì Pīn yīn	Chinese postal romanization, developed in the early 1900s, used until the 1980s
郵政編碼	邮政编码	yóu zhèng biān mǎ	postal code/zip code
郵票	邮票	yóu piào	(postage) stamp/CL:枚[méi],張|张[zhāng]
郵筒	邮筒	yóu tǒng	mailbox/pillar box/(old) letter
郵箱	邮箱	yóu xiāng	mailbox/post office box/email/email inbox
郵簡	邮简	yóu jiǎn	letter sheet (similar to an aerogram but not necessarily sent by airmail)
郵編	邮编	yóu biān	postal code/zip code
郵船	邮船	yóu chuán	mailboat/ocean liner
郵花	邮花	yóu huā	(dialect) (postage) stamp
郵袋	邮袋	yóu dài	mailbag
郵費	邮费	yóu fèi	postage
郵資	邮资	yóu zī	postage
郵購	邮购	yóu gòu	mail order/to purchase by mail
郵車	邮车	yóu chē	mail van/mail coach
郵輪	邮轮	yóu lún	ocean liner/cruise liner
郵迷	邮迷	yóu mí	stamp collector/philatelist
郵遞	邮递	yóu dì	to mail/to deliver (through the post)
郵遞區號	邮递区号	yóu dì qū hào	ZIP code/postal code
郵遞員	邮递员	yóu dì yuán	mailman
郵電	邮电	yóu diàn	post and telecommunications
集郵	集邮	jí yóu	stamp collecting/philately
集郵冊	集邮册	jí yóu cè	stamp album/CL:本[běn]
集郵簿	集邮簿	jí yóu bù	stamp album/CL:本[běn],冊|册[cè],部[bù]
電子郵件	电子邮件	diàn zǐ yóu jiàn	email/CL:封[fēng],份[fèn]
電子郵箱	电子邮箱	diàn zǐ yóu xiāng	email
電郵	电邮	diàn yóu	email/abbr. for 電子郵件|电子邮件[diàn zǐ yóu jiàn]
電郵位置	电邮位置	diàn yóu wèi zhi	email address
電郵地址	电邮地址	diàn yóu dì zhǐ	email address
高郵	高邮	Gāo yóu	Gaoyou county level city in Yangzhou 揚州|扬州[Yáng zhōu], Jiangsu
高郵市	高邮市	Gāo yóu shì	Gaoyou county level city in Yangzhou 揚州|扬州[Yáng zhōu], Jiangsu
