寺	寺	sì	Buddhist temple/mosque/government office (old)
冏寺	冏寺	jiǒng sì	same as 太僕寺|太仆寺[Tài pú sì], Court of imperial stud, office originally charged with horse breeding
南普陀寺	南普陀寺	Nán pǔ tuó sì	Nanputuo Temple in Xiamen 廈門|厦门[Xià mén]
哲蚌寺	哲蚌寺	Zhé bàng sì	Drepung monastery, Lhasa, Tibet
唐招提寺	唐招提寺	Táng zhāo tí sì	Toushoudaiji, the temple in Nara, Japan founded by Tang dynastic Buddhist monk Jianzhen or Ganjin 鑒真和尚|鉴真和尚 and his last resting place
塔公寺	塔公寺	Tǎ gōng sì	Lhagang temple in Dartsendo county 康定縣|康定县[Kāng dìng xiàn], Garze Tibetan autonomous prefecture, Sichuan
塔爾寺	塔尔寺	Tǎ ěr sì	Kumbum (Chinese Ta'er), monastery in Qinhai, formerly Amdo province of Tibet
大寺院	大寺院	dà sì yuàn	abbey/large monastery
大慈恩寺	大慈恩寺	Dà cí ēn sì	Daci'en Buddhist temple in Xi'an
大昭寺	大昭寺	Dà zhāo sì	Jokhang, main Buddhist temple in Lhasa, a sacred place of Tibetan Buddhism
太僕寺	太仆寺	Tài pú sì	Court of imperial stud, office originally charged with horse breeding/Taibus banner in Xilin Gol league 錫林郭勒盟|锡林郭勒盟[Xī lín guō lè méng], Inner Mongolia
太僕寺卿	太仆寺卿	Tài pú sì qīng	Minister of imperial stud, originally charged with horse breeding
太僕寺旗	太仆寺旗	Tài pū sì qí	Taibus banner in Xilin Gol league 錫林郭勒盟|锡林郭勒盟[Xī lín guō lè méng], Inner Mongolia
夾山寺	夹山寺	Jiā shān sì	Jiashan Temple, Buddhist temple in Shimen 石门, Changde 常德, Hunan, the purported final home and burial place of late Ming peasant rebel leader Li Zicheng 李自成
佛寺	佛寺	Fó sì	Buddhist temple
寺廟	寺庙	sì miào	temple/monastery/shrine
寺院	寺院	sì yuàn	cloister/temple/monastery/CL:座[zuò]
小昭寺	小昭寺	Xiǎo zhāo sì	Ramoche Temple, Lhasa
少林寺	少林寺	Shào lín Sì	Shaolin Temple, Buddhist monastery famous for its kung fu monks
惠遠寺	惠远寺	Huì yuǎn sì	Huiyuan Monastery in Dawu County 道孚縣|道孚县[Dào fú xiàn], Garze Tibetan autonomous prefecture, Sichuan
慈照寺	慈照寺	Cí zhào sì	Jishōji in northeast Kyōto 京都, Japan, the official name of Ginkakuji or Silver pavilion 銀閣寺|银阁寺[yín gé sì]
懸空寺	悬空寺	Xuán kōng Sì	Xuankong Temple or Suspended Temple near Yanyuan in Shanxi
拉卜楞寺	拉卜楞寺	Lā bǔ lèng sì	Labrang monastery, Tibetan: bLa-brang bkra-shis-'khyil, in Xiahe county 夏河縣|夏河县[Xià hé xiàn], Gannan Tibetan autonomous prefecture, Gansu, formerly Amdo province of Tibet
法源寺	法源寺	Fǎ yuán sì	Fayuan or Source of the Law temple in Beijing
法隆寺	法隆寺	Fǎ lōng sì	Hōryūji, complex of Buddhist temples near Nara 奈良, Japan, dating back to the Asuka period 飛鳥時代|飞鸟时代 (c. 600)
海印寺	海印寺	Hǎi yìn sì	Haeinsa in South Gyeongsang province of South Korea, the repository of Tripitaka Koreana 高麗大藏經|高丽大藏经[Gāo lí dà zàng jīng], a World Heritage site
清水寺	清水寺	Qīng shuǐ sì	Kiyomizu temple in east Kyōto 京都, Japan
清真寺	清真寺	qīng zhēn sì	mosque
潭柘寺	潭柘寺	Tán zhè sì	Tanzhe Temple
甘丹寺	甘丹寺	Gān dān sì	Ganden monastery, Tibetan: dGa' ldan rNam rgyal gling, Dagzê county 達孜縣|达孜县[Dá zī xiàn], Lhasa, Tibet
白塔寺	白塔寺	Bái tǎ sì	Baita temple in Lanzhou 蘭州|兰州[Lán zhōu]
白馬寺	白马寺	Bái mǎ Sì	the Baima or White Horse Temple in Luoyang, one of the earliest Buddhist temples in China
紅寺堡	红寺堡	Hóng sì bǎo	Hongsibao district of Wuzhong city 吳忠市|吴忠市[Wú zhōng shì], Ningxia
紅寺堡區	红寺堡区	Hóng sì bǎo qū	Hongsibao district of Wuzhong city 吳忠市|吴忠市[Wú zhōng shì], Ningxia
紅寺堡鎮	红寺堡镇	Hóng sì bǎo zhèn	Hongsibao district of Wuzhong city 吳忠市|吴忠市[Wú zhōng shì], Ningxia
色拉寺	色拉寺	Sè lā sì	Sera monastery near Lhasa, Tibet
荷澤寺	荷泽寺	Hé zé sì	Heze temple in Fuzhou, Fujian
跑了和尚，跑不了寺	跑了和尚，跑不了寺	pǎo le hé shàng , pǎo bù liǎo sì	the monk can run away, but the temple won't run with him (idiom)/you can run this time, but you'll have to come back/I'll get you sooner or later
金山寺	金山寺	jīn shān sì	Jinshan Temple, where Fahai lives (from Madam White Snake)
金閣寺	金阁寺	Jīn gé sì	Kinkakuji or Golden pavilion in northwest Kyōto 京都, Japan/informal name of Buddhist temple Rokuonji 鹿苑寺[Lù yuàn sì]
銀閣寺	银阁寺	Yín gé sì	Ginkakuji or Silver pavilion in northeast Kyōto 京都, Japan/officially called Jishōji 慈照寺[Cí zhào sì]
靈谷寺	灵谷寺	Líng gǔ sì	Linggu temple (Nanjing)
靈雀寺	灵雀寺	Líng qiǎo sì	Nyitso Monastery in Dawu County 道孚縣|道孚县[Dào fú xiàn], Garze Tibetan autonomous prefecture, Sichuan
