寶	宝	bǎo	jewel/gem/treasure/precious
三寶太監	三宝太监	Sān bǎo tài jiàn	Sanbao Eunuch, official title of Zheng He 鄭和|郑和[Zhèng Hé]/also written 三保太監|三保太监
三寶鳥	三宝鸟	sān bǎo niǎo	(bird species of China) oriental dollarbird (Eurystomus orientalis)
上方寶劍	上方宝剑	shàng fāng bǎo jiàn	imperial sword (giving bearer plenipotentiary powers)/imperial Chinese version of 007 licensed to kill
上海寶鋼集團公司	上海宝钢集团公司	Shàng hǎi Bǎo gāng Jí tuán Gōng sī	Baosteel
二寶	二宝	èr bǎo	second child/second baby
傳家寶	传家宝	chuán jiā bǎo	family heirloom
元寶	元宝	Yuán bǎo	Yuanbao district of Dandong city 丹東市|丹东市[Dān dōng shì], Liaoning
元寶	元宝	yuán bǎo	a silver or gold ingot/mock ingot (burnt as offering in worship)/a name for ancient currency/a rare genius
元寶區	元宝区	Yuán bǎo qū	Yuanbao district of Dandong city 丹東市|丹东市[Dān dōng shì], Liaoning
元寶山	元宝山	Yuán bǎo shān	Yuanbaoshan district, Chifeng city, Inner Mongolia
元寶山區	元宝山区	Yuán bǎo shān qū	Yuanbaoshan district, Chifeng city, Inner Mongolia
充電寶	充电宝	chōng diàn bǎo	portable charger/mobile power pack
八寶丹	八宝丹	bā bǎo dān	eight-jewel elixir (TCM)
八寶山	八宝山	Bā bǎo shān	Mt Babao in Haidian district of Beijing
八寶山革命公墓	八宝山革命公墓	Bā bǎo Shān Gé mìng Gōng mù	Mt Babao Revolutionary Cemetery in Haidian district of Beijing
八寶眼藥	八宝眼药	bā bǎo yǎn yào	eight-jewel eye ointment (TCM)
八寶粥	八宝粥	bā bǎo zhōu	rice congee made with red beans, lotus seeds, longan, red dates, nuts etc
劉金寶	刘金宝	Liú Jīn bǎo	Liu Jinbao
力寶	力宝	Lì bǎo	Lippo (Group) (Indonesian conglomerate)
加多寶	加多宝	Jiā duō bǎo	JDB (Chinese beverage company)
吳仁寶	吴仁宝	Wú Rén bǎo	Wu Renbao (1928-2013), former CCP chief of Huaxi Village 華西村|华西村[Huá xī Cūn], responsible for turning it into a modern rich community
嘉寶果	嘉宝果	jiā bǎo guǒ	jaboticaba/Brazilian grape tree
國寶	国宝	guó bǎo	national treasure
壓寶	压宝	yā bǎo	variant of 押寶|押宝[yā bǎo]
多寶魚	多宝鱼	duō bǎo yú	turbot/European imported turbot/same as 大菱鮃|大菱鲆
大寶	大宝	Dà bǎo	Taiho (a Japanese era)
大寶	大宝	dà bǎo	(archaic) throne
大雄寶殿	大雄宝殿	dà xióng bǎo diàn	Hall of Great Strength, main hall of a Buddhist temple containing the main image of veneration 大雄[dà xióng]
天線寶寶	天线宝宝	Tiān xiàn Bǎo bǎo	Teletubbies
奇珍異寶	奇珍异宝	qí zhēn yì bǎo	rare treasure (idiom)
如獲至寶	如获至宝	rú huò zhì bǎo	as if gaining the most precious treasure
媽寶	妈宝	mā bǎo	mama's boy
孕寶寶	孕宝宝	yùn bǎo bǎo	(coll.) child in the womb
三寶	三宝	sān bǎo	the Three Precious Treasures of Buddhism, namely: the Buddha 佛, the Dharma 法 (his teaching), and the Sangha 僧 (his monastic order)
寶典	宝典	bǎo diǎn	canonical text/treasury (i.e. book of treasured wisdom)
寶刀不老	宝刀不老	bǎo dāo bù lǎo	lit. a good sword always remains sharp (idiom)/fig. (of one's skills etc) to be as good as ever/the old man still has it
寶刀未老	宝刀未老	bǎo dāo wèi lǎo	treasure knife does not age (idiom); old but still vigorous
寶劍	宝剑	bǎo jiàn	(double-edged) sword/CL:把[bǎ],方[fāng]
寶可夢	宝可梦	Bǎo kě mèng	Pokémon
寶嘉康蒂	宝嘉康蒂	Bǎo jiā kāng dì	Pocahontas (c. 1595-1617), native American noted for her association with the colony of Jamestown, Virginia
寶坻	宝坻	Bǎo dǐ	Baodi rural district in Tianjin 天津[Tiān jīn]
寶坻區	宝坻区	Bǎo dǐ qū	Baodi rural district in Tianjin 天津[Tiān jīn]
寶塔	宝塔	bǎo tǎ	pagoda
寶塔區	宝塔区	Bǎo tǎ qū	Baota or Pagoda district of Yan'an city 延安市[Yán ān shì], Shaanxi
寶塔菜	宝塔菜	bǎo tǎ cài	Chinese artichoke/Stachys sieboldii
寶媽	宝妈	bǎo mā	a mom (mother of a young child)
寶安	宝安	Bǎo ān	Bao'an district of Shenzhen City 深圳市, Guangdong
寶安區	宝安区	Bǎo ān qū	Bao'an district of Shenzhen City 深圳市, Guangdong
寶寶	宝宝	bǎo bǎo	darling/baby
寶山	宝山	Bǎo shān	Baoshang District of Shanghai/Baoshan District of Shuangyashan city 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang/Baoshan or Paoshan township in Hsinchu County 新竹縣|新竹县[Xīn zhú Xiàn], northwest Taiwan
寶山區	宝山区	Bǎo shān qū	Baoshang district of Shanghai/Baoshan district of Shuangyashan city 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang
寶山鄉	宝山乡	Bǎo shān xiāng	Baoshan or Paoshan township in Hsinchu County 新竹縣|新竹县[Xīn zhú Xiàn], northwest Taiwan
寶島	宝岛	Bǎo dǎo	Formosa
寶座	宝座	bǎo zuò	throne
寶庫	宝库	bǎo kù	treasure-house/treasury/treasure-trove (often fig., book of treasured wisdom)
寶應	宝应	Bǎo yīng	Baoying county in Yangzhou 揚州|扬州[Yáng zhōu], Jiangsu
