塵	尘	chén	dust/dirt/earth
一路風塵	一路风尘	yī lù fēng chén	to live an exhausting journey
凡塵	凡尘	fán chén	mundane world (in religious context)/this mortal coil
前塵	前尘	qián chén	the past/impurity contracted previously (in the sentient world) (Buddhism)
吸塵器	吸尘器	xī chén qì	vacuum cleaner/dust catcher
吸塵機	吸尘机	xī chén jī	vacuum cleaner
一塵不染	一尘不染	yī chén bù rǎn	untainted by even a speck of dust (idiom); selfless and incorruptible/spotless
塵世	尘世	chén shì	this mortal life/the mundane world
塵囂	尘嚣	chén xiāo	hubbub/hustle and bustle
塵土	尘土	chén tǔ	dust
塵埃	尘埃	chén āi	dust
塵埃落定	尘埃落定	Chén āi luò dìng	"Red Poppies", novel by 阿來|阿来[Ā lái]
塵埃落定	尘埃落定	chén āi luò dìng	lit. the dust has settled (idiom)/fig. to get sorted out/to be finalized
塵封	尘封	chén fēng	covered in dust/dusty/lying unused for a long time
塵暴	尘暴	chén bào	dust devil
塵肺	尘肺	chén fèi	pneumoconiosis
塵蟎	尘螨	chén mǎn	dust mite
塵雲	尘云	chén yún	dust cloud
塵霧	尘雾	chén wù	cloud of dust/smog
封塵	封尘	fēng chén	to gather dust
征塵	征尘	zhēng chén	the dust of a long journey
後塵	后尘	hòu chén	lit. trailing dust/fig. sb's footsteps/course in life
微塵	微尘	wēi chén	dust/(Buddhism) minutest particle of matter
拂塵	拂尘	fú chén	horsetail whisk/duster
望塵莫及	望尘莫及	wàng chén mò jí	lit. to see only the other rider's dust and have no hope of catching up (idiom)/to be far inferior
步人後塵	步人后尘	bù rén hòu chén	to follow in other people's footsteps
沙塵	沙尘	shā chén	airborne sand and dust
沙塵暴	沙尘暴	shā chén bào	sand and dust storm
滌塵	涤尘	dí chén	to wash off dust
滿臉風塵	满脸风尘	mǎn liǎn fēng chén	lit. with a face full of dust/showing the hardships of travel (idiom)
滿身塵埃	满身尘埃	mǎn shēn chén āi	dusty
濾塵器	滤尘器	lǜ chén qì	dust filter
灰塵	灰尘	huī chén	dust
煙塵	烟尘	yān chén	smoke and dust/air pollution
甚囂塵上	甚嚣尘上	shèn xiāo chén shàng	clamor raises the dust (idiom); a tremendous clamor/to raise a tremendous stink
看破紅塵	看破红尘	kān pò hóng chén	to see through the world of mortals (idiom, of Buddhist monk)/disillusioned with human society/to reject the world for a monastic life
粉塵	粉尘	fěn chén	dust/airborne powder/solid particulate matter
紅塵	红尘	hóng chén	the world of mortals (Buddhism)/human society/worldly affairs
纖塵	纤尘	xiān chén	speck of dust/fine dust
纖塵不染	纤尘不染	xiān chén bù rǎn	see 一塵不染|一尘不染[yī chén bù rǎn]
落塵	落尘	luò chén	dust fall/fallout (volcanic, nuclear etc)/particulate matter
軼塵	轶尘	yì chén	variant of 逸塵|逸尘[yì chén]
逸塵	逸尘	yì chén	outstanding/above the common/out of the ordinary
逸塵斷鞅	逸尘断鞅	yì chén duàn yāng	lit. kicking up the dust and breaking the harness/fig. to ride like the wind (idiom)
降塵	降尘	jiàng chén	dust fall/fallout (volcanic, nuclear etc)/particulate matter
除塵	除尘	chú chén	to eliminate dust (i.e. filter out suspended particles)
除塵機	除尘机	chú chén jī	dusting machine/dust filter
風塵	风尘	fēng chén	windblown dust/hardships of travel/vicissitudes of life/prostitution
風塵僕僕	风尘仆仆	fēng chén pú pú	lit. covered in dust (idiom)/fig. travel-worn
飄塵	飘尘	piāo chén	floating dust/atmospheric particles
鹼性塵霧	碱性尘雾	jiǎn xìng chén wù	alkali fumes
