礙	碍	ài	to hinder/to obstruct/to block
勃起功能障礙	勃起功能障碍	bó qǐ gōng néng zhàng ài	erectile dysfunction (ED)
妨礙	妨碍	fáng ài	to hinder/to obstruct
妨礙球	妨碍球	fáng ài qiú	stymie (golf)
性別認同障礙	性别认同障碍	xìng bié rèn tóng zhàng ài	gender identity disorder (GID)/gender dysphoria
性同一性障礙	性同一性障碍	xìng tóng yī xìng zhàng ài	gender identity disorder
掛礙	挂碍	guà ài	worry
文化障礙	文化障碍	wén huà zhàng ài	cultural barrier
智能障礙	智能障碍	zhì néng zhàng ài	intellectual disability/cognitive disability/learning disability/mental retardation
水障礙	水障碍	shuǐ zhàng ài	water hazard (golf)
無礙	无碍	wú ài	without inconvenience/unimpeded/unhindered/unobstructed/unfettered/unhampered
分裂情感性障礙	分裂情感性障碍	fēn liè qíng gǎn xìng zhàng ài	schizoaffective disorder
礙事	碍事	ài shì	(usu used in the negative) to be of importance or to matter/to be in the way/to be a hindrance
礙口	碍口	ài kǒu	to shy to speak out/tongue-tied/to hesitate/too embarrassing for words
礙口識羞	碍口识羞	ài kǒu shí xiū	tongue-tied for fear of embarrassment (idiom)
礙手礙腳	碍手碍脚	ài shǒu ài jiǎo	to be in the way/to be a hindrance
礙眼	碍眼	ài yǎn	to be an irksome presence (i.e. sth or sb one wishes were not there)
礙胃口	碍胃口	ài wèi kǒu	to impair the appetite
礙難	碍难	ài nán	inconvenient/difficult for some reason/to find sth embarrassing
礙難從命	碍难从命	ài nán cóng mìng	difficult to obey orders (idiom); much to my embarrassment, I am unable to comply
礙面子	碍面子	ài miàn zi	(not do sth) for fear of offending sb
語言障礙	语言障碍	yǔ yán zhàng ài	language barrier/speech impediment
身心障礙	身心障碍	shēn xīn zhàng ài	disability
違礙	违碍	wéi ài	taboo/prohibition
邊緣性人格障礙	边缘性人格障碍	biān yuán xìng rén gé zhàng ài	borderline personality disorder (BPD)
閱讀障礙	阅读障碍	yuè dú zhàng ài	dyslexia
阻礙	阻碍	zǔ ài	to obstruct/to hinder/to block/obstruction/hindrance
障礙	障碍	zhàng ài	barrier/obstruction/hindrance/impediment/obstacle
障礙性貧血	障碍性贫血	zhàng ài xìng pín xuè	aplastic anemia (med.)
障礙滑雪	障碍滑雪	zhàng ài huá xuě	to slalom/slalom
障礙物	障碍物	zhàng ài wù	obstacle/hindrance
障礙跑	障碍跑	zhàng ài pǎo	steeplechase (athletics)
