巍	巍	wēi	lofty/towering/Taiwan pr. [wéi]
崔巍	崔巍	cuī wēi	tall/towering
巍山彞族回族自治縣	巍山彝族回族自治县	Wēi shān Yí zú Huí zú Zì zhì xiàn	Weishan Yi and Hui autonomous county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
巍山縣	巍山县	Wēi shān xiàn	Weishan Yi and Hui autonomous county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
巍峨	巍峨	wēi é	lofty/towering/majestic
巍巍	巍巍	wēi wēi	towering/imposing
巍然	巍然	wēi rán	majestic/towering/imposing
巍然屹立	巍然屹立	wēi rán yì lì	to stand tall and rock-solid (idiom)/towering majestically/(of a person) to stand up against sb
顫巍	颤巍	chàn wēi	see 顫巍巍|颤巍巍[chàn wēi wēi]
顫巍巍	颤巍巍	chàn wēi wēi	trembling/swaying/flickering/tottering/faltering
魏巍	魏巍	Wèi Wēi	Wei Wei (1920-2008), novelist and poet, author of award-winning novel The East 東方|东方 about the Korean war
