瀘	泸	lú	old name of a river in Jiangxi/place name
瀘定	泸定	Lú dìng	Luding county (Tibetan: lcags zam rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
瀘定橋	泸定桥	Lú dìng qiáo	Luding Bridge over Dadu river 大渡河[Dà dù hé] in Sichuan, built by Kangxi in 1706, linking Luding county Sichuan Luding county 瀘定縣|泸定县[Lú dìng xiàn] with Garze Tibetan autonomous prefecture 甘孜藏族自治州|甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu]
瀘定縣	泸定县	Lú dìng xiàn	Luding county (Tibetan: lcags zam rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
瀘州	泸州	Lú zhōu	Luzhou prefecture-level city in Sichuan
瀘州市	泸州市	Lú zhōu shì	Luzhou prefecture-level city in Sichuan
瀘水	泸水	Lú shuǐ	Lushui county in Nujiang Lisu autonomous prefecture 怒江傈僳族自治州[Nù jiāng Lì sù zú zì zhì zhōu] in northwest Yunnan
瀘水縣	泸水县	Lú shuǐ xiàn	Lushui county in Nujiang Lisu autonomous prefecture 怒江傈僳族自治州[Nù jiāng Lì sù zú zì zhì zhōu] in northwest Yunnan
瀘沽湖	泸沽湖	Lú gū Hú	Lugu Lake
瀘溪	泸溪	Lú xī	Luxi county in Xiangxi Tujia and Miao autonomous prefecture 湘西土家族苗族自治州[Xiāng xī Tǔ jiā zú Miáo zú zì zhì zhōu]
瀘溪縣	泸溪县	Lú xī xiàn	Luxi county in Xiangxi Tujia and Miao autonomous prefecture 湘西土家族苗族自治州[Xiāng xī Tǔ jiā zú Miáo zú zì zhì zhōu]
瀘縣	泸县	Lú xiàn	Lu county in Luzhou 瀘州|泸州[Lú zhōu], Sichuan
瀘西	泸西	Lú xī	Luxi county in Honghe Hani and Yi autonomous prefecture, Yunnan
瀘西縣	泸西县	Lú xī xiàn	Luxi county in Honghe Hani and Yi autonomous prefecture, Yunnan
