貧	贫	pín	poor/inadequate/deficient/garrulous
兒不嫌母醜，狗不嫌家貧	儿不嫌母丑，狗不嫌家贫	ér bù xián mǔ chǒu , gǒu bù xián jiā pín	a son won't abandon his mother for being ugly, just as a dog won't abandon its owner for being poor (proverb)
再生不良性貧血	再生不良性贫血	zài shēng bù liáng xìng pín xuè	aplastic anemia
劫富濟貧	劫富济贫	jié fù jì pín	to rob the rich to help the poor
地中海貧血	地中海贫血	Dì zhōng Hǎi pín xuè	thalassemia (medicine)
失血性貧血	失血性贫血	shī xuè xìng pín xuè	blood loss anemia
嫌貧愛富	嫌贫爱富	xián pín ài fù	to favor the rich and disdain the poor (idiom)/snobbish
子不嫌母醜，狗不嫌家貧	子不嫌母丑，狗不嫌家贫	zǐ bù xián mǔ chǒu , gǒu bù xián jiā pín	see 兒不嫌母醜，狗不嫌家貧|儿不嫌母丑，狗不嫌家贫[ér bù xián mǔ chǒu , gǒu bù xián jiā pín]
安富恤貧	安富恤贫	ān fù xù pín	to give sympathy to the rich and relief to the poor (idiom)
安貧樂道	安贫乐道	ān pín lè dào	to be content with poverty and strive for virtue (idiom)
家貧如洗	家贫如洗	jiā pín rú xǐ	extreme poverty (idiom); destitute/penniless/poor as church mice
打富濟貧	打富济贫	dǎ fù jì pín	to rob the rich to help the poor (idiom)
扶貧	扶贫	fú pín	assistance to the poor/poverty alleviation
扶貧濟困	扶贫济困	fú pín jì kùn	to help the poor/almsgiving for the needy/to assist poor households or poor regions
次貧	次贫	cì pín	extremely poor but not destitute
殺富濟貧	杀富济贫	shā fù jì pín	robbing the rich to help the poor
海洋性貧血	海洋性贫血	hǎi yáng xìng pín xuè	thalassemia
清貧	清贫	qīng pín	poor but upright/destitute
濟貧	济贫	jì pín	to help the poor
犯貧	犯贫	fàn pín	(dialect) to talk nonsense/garrulous
笑貧不笑娼	笑贫不笑娼	xiào pín bù xiào chāng	the notion in society that it's better to get ahead in the world by abandoning one's scruples than to suffer poverty/lit. despising poverty but not prostitution (idiom)
耍貧嘴	耍贫嘴	shuǎ pín zuǐ	(coll.) to wag one's tongue/to indulge in idle gossip and silly jokes/to chatter endlessly/to speak glibly
脫貧	脱贫	tuō pín	to lift oneself out of poverty
脫貧致富	脱贫致富	tuō pín zhì fù	to rise from poverty and become prosperous (idiom)/poverty alleviation
腦貧血	脑贫血	nǎo pín xuè	cerebral anemia
訪貧問苦	访贫问苦	fǎng pín wèn kǔ	to visit the poor and ask about their suffering (idiom)
一貧如洗	一贫如洗	yī pín rú xǐ	penniless
貧下中農	贫下中农	pín xià zhōng nóng	(category defined by the Communist Party) poor and lower-middle peasants: farmers who, before land reform, possessed little or no land (poor peasants) and those who were barely able to support themselves with their own land (lower-middle peasants)
貧不足恥	贫不足耻	pín bù zú chǐ	it is no disgrace to be poor (idiom)
貧乏	贫乏	pín fá	impoverished/lacking/deficient/limited/meager/impoverishment/lack/deficiency
貧僧	贫僧	pín sēng	poor monk (humble term used by monk of himself)
貧嘴	贫嘴	pín zuǐ	talkative/garrulous/loquacious/flippant/jocular
貧嘴滑舌	贫嘴滑舌	pín zuǐ huá shé	garrulous and sharp-tongued
貧嘴薄舌	贫嘴薄舌	pín zuǐ bó shé	garrulous and sharp-tongued
貧困	贫困	pín kùn	impoverished/poverty
貧困地區	贫困地区	pín kùn dì qū	poor region/impoverished area
貧困率	贫困率	pín kùn lǜ	poverty rate
貧富	贫富	pín fù	poor and rich
貧富差距	贫富差距	pín fù chā jù	disparity between rich and poor
