貨	货	huò	goods/money/commodity/CL:個|个[gè]
一分錢一分貨	一分钱一分货	yī fēn qián yī fēn huò	nothing for nothing/you get what you pay for
一分錢兩分貨	一分钱两分货	yī fēn qián liǎng fēn huò	high quality at bargain price
一手交錢，一手交貨	一手交钱，一手交货	yī shǒu jiāo qián , yī shǒu jiāo huò	lit. one hand exchanges the cash, the other the goods (idiom)/fig. to pay for what you want in cash/simple and direct transaction
不怕不識貨，只怕貨比貨	不怕不识货，只怕货比货	bù pà bù shí huò , zhǐ pà huò bǐ huò	lit. don't worry about not knowing goods, but about comparing them (proverb)/fig. goods' (or person's) true value can only be determined through comparison
不怕不識貨，就怕貨比貨	不怕不识货，就怕货比货	bù pà bù shí huò , jiù pà huò bǐ huò	lit. don't worry about not knowing goods, but about comparing them (proverb)/fig. goods' (or person's) true value can only be determined through comparison
乾貨	干货	gān huò	dried food (including dried fruits, mushrooms and seafoods such as shrimp and abalone)/(fig.) (coll.) knowledge presented in readily assimilable form/just what you want to know: no more, no less (no 水分[shuǐ fēn])
二手貨	二手货	èr shǒu huò	second-hand goods/used goods
二水貨	二水货	èr shuǐ huò	used goods/second hand goods
二貨	二货	èr huò	(slang) fool/dunce/foolishly cute person
交貨	交货	jiāo huò	to deliver goods
交貨期	交货期	jiāo huò qī	delivery time (time between ordering goods and receiving the delivery)/date of delivery
代收貨款	代收货款	dài shōu huò kuǎn	collect on delivery (COD)
供貨	供货	gōng huò	to supply goods
供貨商	供货商	gōng huò shāng	supplier/vendor
便宜貨	便宜货	pián yi huò	a bargain/cheap goods
俏貨	俏货	qiào huò	goods that sell well
倫敦國際金融期貨交易所	伦敦国际金融期货交易所	Lún dūn Guó jì Jīn róng Qī huò Jiāo yì suǒ	London International Financial Futures and Options Exchange (LIFFE)
假貨	假货	jiǎ huò	counterfeit article/fake/dummy/simulacrum
儲備貨幣	储备货币	chǔ bèi huò bì	reserve currency
冒牌貨	冒牌货	mào pái huò	fake goods/imitation/forgery
出口貨	出口货	chū kǒu huò	exports/goods for export
出貨	出货	chū huò	to take money or valuables out of storage/to recover/to ship goods/to extract (chemicals from solution)
到貨	到货	dào huò	(of packages or shipments) to arrive
加密貨幣	加密货币	jiā mì huò bì	cryptocurrency
卸貨	卸货	xiè huò	to unload/to discharge cargo
吃貨	吃货	chī huò	chowhound/foodie/a good-for-nothing
售貨	售货	shòu huò	to sell goods
售貨員	售货员	shòu huò yuán	salesperson/CL:個|个[gè]
售貨臺	售货台	shòu huò tái	vendor's stall
單一貨幣	单一货币	dān yī huò bì	single currency
國貨	国货	guó huò	domestically produced goods
國際貨幣基金	国际货币基金	Guó jì Huò bì Jī jīn	International Monetary Fund (IMF)
國際貨幣基金組織	国际货币基金组织	Guó jì Huò bì Jī jīn Zǔ zhī	International Monetary Fund (IMF)
國際貨運代理	国际货运代理	guó jì huò yùn dài lǐ	international transport agency
土貨	土货	tǔ huò	local produce
外來貨	外来货	wài lái huò	imported product
大路貨	大路货	dà lù huò	staple goods
奇貨可居	奇货可居	qí huò kě jū	rare commodity worth hoarding/object for profiteering
存貨	存货	cún huò	stock/inventory (of material)
定貨	定货	dìng huò	variant of 訂貨|订货[dìng huò]
密閉貨艙	密闭货舱	mì bì huò cāng	sealed cabin
寶貨	宝货	bǎo huò	precious object/treasure
小型貨車	小型货车	xiǎo xíng huò chē	light van
小貨車	小货车	xiǎo huò chē	pickup truck
山寨貨	山寨货	shān zhài huò	fake/imitation or counterfeit product
年貨	年货	nián huò	merchandise sold for Chinese New Year
惡性通貨膨脹	恶性通货膨胀	è xìng tōng huò péng zhàng	hyperinflation
慢工出細貨	慢工出细货	màn gōng chū xì huò	patient work makes a fine product
承銷貨物	承销货物	chéng xiāo huò wù	goods on consignment
捷達航空貨運	捷达航空货运	Jié dá Háng kōng Huò yùn	Jett8 Airlines Cargo (based in Singapore)
提貨	提货	tí huò	to accept delivery of goods/to pick up goods
提貨單	提货单	tí huò dān	bill of lading
搶手貨	抢手货	qiǎng shǒu huò	a best-seller/a hot property
收貨人	收货人	shōu huò rén	consignee
斷貨	断货	duàn huò	to run out of (stock)
日貨	日货	Rì huò	Japanese goods
暢貨中心	畅货中心	chàng huò zhōng xīn	outlet store (Tw)
期貨	期货	qī huò	abbr. for 期貨合約|期货合约[qī huò hé yuē], futures contract (finance)
期貨合約	期货合约	qī huò hé yuē	futures contract (finance)
未出貨	未出货	wèi chū huò	not yet dispatched
本位貨幣	本位货币	běn wèi huò bì	local currency/our own currency/abbr. to 本幣|本币
次貨	次货	cì huò	inferior goods/substandard products
款到發貨	款到发货	kuǎn dào fā huò	dispatch upon receipt of payment
歐洲貨幣	欧洲货币	Ōu zhōu huò bì	Euro/European currency
殺人越貨	杀人越货	shā rén yuè huò	to kill sb for his property (idiom); to murder for money
水貨	水货	shuǐ huò	smuggled goods/unauthorized goods
法定貨幣	法定货币	fǎ dìng huò bì	fiat currency
泡貨	泡货	pāo huò	light but bulky goods
洋貨	洋货	yáng huò	Western goods/imported goods (in former times)
炒貨	炒货	chǎo huò	roasted snacks (peanuts, chestnuts etc)
無貨	无货	wú huò	out of stock/product unavailable
熱門貨	热门货	rè mén huò	goods in great demand
爛污貨	烂污货	làn wū huò	loose woman/slut
現貨	现货	xiàn huò	merchandise or commodities available immediately after sale/merchandise in stock/available item/actuals (investment)/actual commodities
現貨價	现货价	xiàn huò jià	price of actuals
理貨員	理货员	lǐ huò yuán	shop assistant/warehouse assistant
發貨	发货	fā huò	to dispatch/to send out goods
百貨	百货	bǎi huò	general merchandise
百貨公司	百货公司	bǎi huò gōng sī	department store
百貨商店	百货商店	bǎi huò shāng diàn	department store
百貨大樓	百货大楼	bǎi huò dà lóu	department store
百貨店	百货店	bǎi huò diàn	bazaar/department store/general store
皮貨	皮货	pí huò	furs
盤貨	盘货	pán huò	to take stock/to make an inventory
笨貨	笨货	bèn huò	idiot
統貨	统货	tǒng huò	unified goods/goods in the command economy that are not graded by quality and uniformly priced
缺貨	缺货	quē huò	lack of supplies/unavailable goods
脫貨	脱货	tuō huò	out of stock/sold out
腌貨	腌货	yān huò	pickles
自動售貨機	自动售货机	zì dòng shòu huò jī	vending machine
臭貨	臭货	chòu huò	low-quality goods/scumbag/bitch
舊貨	旧货	jiù huò	second-hand goods/used items for sale
舊貨市場	旧货市场	jiù huò shì chǎng	sale of second-hand goods/flea market
船上交貨	船上交货	chuán shàng jiāo huò	Free On Board (FOB) (transportation)
船貨	船货	chuán huò	cargo
蠢貨	蠢货	chǔn huò	blockhead/idiot/dunce/moron/fool
行貨	行货	háng huò	authorized goods/genuine goods/crudely-made goods
補貨	补货	bǔ huò	to restock (an item)/to replenish inventory
裝貨	装货	zhuāng huò	to load sth onto a ship etc
訂貨	订货	dìng huò	to order goods/to place an order
識貨	识货	shí huò	to know what's what
A貨	A货	A huò	good-quality fake
貨倉	货仓	huò cāng	warehouse
貨值	货值	huò zhí	value (of goods)
貨到付款	货到付款	huò dào fù kuǎn	cash on delivery (COD)
貨包	货包	huò bāo	bundle/bale
貨品	货品	huò pǐn	goods
貨商場	货商场	huò shāng chǎng	department store
貨問三家不吃虧	货问三家不吃亏	huò wèn sān jiā bù chī kuī	see 貨比三家不吃虧|货比三家不吃亏[huò bǐ sān jiā bù chī kuī]
貨幣	货币	huò bì	currency/monetary/money
貨幣主義	货币主义	huò bì zhǔ yì	monetarism
