爺	爷	yé	grandpa/old gentleman
佛爺	佛爷	Fó ye	Buddha (term of respect for Sakyamuni 釋迦牟尼|释迦牟尼[Shì jiā móu ní])/His Holiness (refers to a Buddhist grandee)/Buddha/God/emperor/in late Qing court, refers exclusively to Empress Dowager Cixi 慈禧太后[Cí xǐ tài hòu]
侃爺	侃爷	kǎn yé	big talker
倒爺	倒爷	dǎo yé	(coll.) a profiteer/(business) wheeler-dealer
外爺	外爷	wài ye	(dialect) maternal grandfather
大爺	大爷	dà yé	arrogant idler/self-centered show-off
大爺	大爷	dà ye	(coll.) father's older brother/uncle/term of respect for older man
天老爺	天老爷	tiān lǎo ye	see 老天爺|老天爷[lǎo tiān yé]
太爺	太爷	tài yé	(respectful for) one's grandfather/sb's father/older people/the head of the house (used by servants)/a district magistrate
姑爺	姑爷	gū ye	son-in-law (used by wife's family)/uncle (husband of father's sister)
姥爺	姥爷	lǎo ye	maternal grandfather (dialectal)
官老爺	官老爷	guān lǎo ye	nickname for official
家爺	家爷	jiā yé	(old) a term servants used to refer to their master
少爺	少爷	shào ye	son of the boss/young master of the house/your son (honorific)
教師爺	教师爷	jiào shī yé	master of martial arts, in former times often employed by a landlord to teach fighting skills and guard the house/(fig.) sb who arrogantly and condescendingly lectures others
板兒爺	板儿爷	bǎn r5 yé	(coll.) pedicab driver
求爺爺告奶奶	求爷爷告奶奶	qiú yé ye gào nǎi nai	lit. to beg grandpa and call on grandma (idiom)/fig. to go about begging for help
灶王爺	灶王爷	Zào wáng yé	Zaoshen, the god of the kitchen/also written 灶神
七爺八爺	七爷八爷	Qī yé Bā yé	see 黑白無常|黑白无常[Hēi Bái Wú cháng]
爺們	爷们	yé men	menfolk (collective term for men of different generations)/husbands and their fathers etc
爺們兒	爷们儿	yé men r5	erhua variant of 爺們|爷们[yé men]
爺爺	爷爷	yé ye	(coll.) father's father/paternal grandfather/CL:個|个[gè]
王爺	王爷	wáng ye	prince/marquis/nobleman
空中少爺	空中少爷	kōng zhōng shào ye	airline steward
老佛爺	老佛爷	Lǎo fó yé	title of respect for the queen mother or the emperor's father/nickname for Empress Dowager Cixi 慈禧太后[Cí xǐ tài hòu]
老大爺	老大爷	lǎo dà yé	uncle/grandpa/CL:位[wèi]
老天爺	老天爷	lǎo tiān yé	God/Heavens
老天爺餓不死瞎家雀	老天爷饿不死瞎家雀	lǎo tiān yé è bù sǐ xiā jiā què	lit. heaven won't let the sparrows go hungry (idiom)/fig. don't give up hope/if you tough it out, there will be light at the end of the tunnel
老太爺	老太爷	lǎo tài yé	elderly gentleman (respectful)/esteemed father
老爺	老爷	lǎo ye	(respectful) lord/master/(coll.) maternal grandfather
老爺子	老爷子	lǎo yé zi	my (you etc) old father/polite appellation for an elderly male
老爺嶺	老爷岭	Lǎo ye lǐng	Chinese name for Sichote-Alin mountain range in Russia's Primorsky Krai around Vladivostok
老爺爺	老爷爷	lǎo yé ye	(coll.) father's father's father/paternal great-grandfather
老爺車	老爷车	lǎo ye chē	classic car
膀爺	膀爷	bǎng yé	topless guy (man who, in a public place, is not wearing a shirt)
舅爺	舅爷	jiù yé	father's maternal uncle/granduncle
財神爺	财神爷	cái shén yé	god of wealth/very wealthy man
閻王爺	阎王爷	Yán wáng yé	same as 閻羅王|阎罗王/Yama, King of Hell/translation of Sanskrit: Yama Raja
青天大老爺	青天大老爷	qīng tiān dà lǎo ye	(coll.) just and incorruptible official
