噹	当	dāng	(onom.) dong/ding dong (bell)
半瓶水響叮噹	半瓶水响叮当	bàn píng shuǐ xiǎng dīng dāng	lit. if you tap a half-empty bottle it makes a sound (idiom)/fig. empty vessels make the most noise/one who has a little knowledge likes to show off, but one who is truly knowledgeable is modest
叮叮噹噹	叮叮当当	dīng dīng dāng dāng	(onom.) ding dong/jingling of bells/clanking sound
叮噹	叮当	dīng dāng	(onom.) ding dong/jingling of bells/clanking sound
叮噹聲	叮当声	dīng dāng shēng	tinkle
叮噹響	叮当响	dīng dāng xiǎng	(onom.) ding dong/jingling of bells/clanking sound
丁零噹啷	丁零当啷	dīng ling dāng lāng	ding-a-ling/(onom.) for sound of bell
噹噹	当当	dāng dāng	(onom.) ding dong
噹噹車	当当车	dāng dāng chē	(coll.) tram, especially Beijing trams during period of operation 1924-1956/also written 鐺鐺車|铛铛车[dāng dāng chē]
色噹	色当	Sè dāng	Sedan (French town)
響叮噹	响叮当	xiǎng dīng dāng	to tinkle/to jingle/to clank
響噹噹	响当当	xiǎng dāng dāng	resounding/loud/well known/famous
