憐	怜	lián	to pity
乞憐	乞怜	qǐ lián	to beg for pity
可憐	可怜	kě lián	pitiful/pathetic/to have pity on
可憐兮兮	可怜兮兮	kě lián xī xī	miserable/wretched
可憐巴巴	可怜巴巴	kě lián bā bā	pathetic/pitiful
可憐蟲	可怜虫	kě lián chóng	pitiful creature/wretch
可憐見	可怜见	kě lián jiàn	(coll.) pitiable/to have pity on sb
同病相憐	同病相怜	tóng bìng xiāng lián	fellow sufferers empathize with each other (idiom); misery loves company
哀憐	哀怜	āi lián	to feel compassion for/to pity on/to feel sorry for
惜香憐玉	惜香怜玉	xī xiāng lián yù	see 憐香惜玉|怜香惜玉[lián xiāng xī yù]
愛憐	爱怜	ài lián	to show tenderness/to coo over/affection
乞哀告憐	乞哀告怜	qǐ āi gào lián	begging for pity and asking for help (idiom)
憐恤	怜恤	lián xù	to take pity/to show compassion
憐惜	怜惜	lián xī	to take pity on/to feel tenderness toward
憐愛	怜爱	lián ài	to have tender affection for/to love tenderly/to pamper sb
憐憫	怜悯	lián mǐn	to take pity on/pity/mercy
憐香惜玉	怜香惜玉	lián xiāng xī yù	to have tender, protective feelings for the fairer sex (idiom)
求憐經	求怜经	qiú lián jīng	Kyrie Eleison (section of Catholic mass)/Miserere nobis/Lord have mercy upon us
由憐生愛	由怜生爱	yóu lián shēng ài	to develop love for sb out of pity for them
自艾自憐	自艾自怜	zì ài zì lián	to feel sorry for oneself
顧影自憐	顾影自怜	gù yǐng zì lián	lit. looking at one's shadow and feeling sorry for oneself (idiom)/fig. alone and dejected
