綺	绮	qǐ	beautiful/open-work silk
清綺	清绮	qīng qǐ	beautiful/elegant
綺井	绮井	qǐ jǐng	ceiling (architecture)
綺夢	绮梦	qǐ mèng	pleasant and romantic dream
綺室	绮室	qǐ shì	magnificent room
綺年	绮年	qǐ nián	young/youthful
綺思	绮思	qǐ sī	beautiful thoughts (in writing)
綺想	绮想	qǐ xiǎng	fantasies/imaginings
綺想曲	绮想曲	qǐ xiǎng qǔ	capriccio (music)
綺歲	绮岁	qǐ suì	youthful age
綺燦	绮灿	qǐ càn	enchanting/gorgeous
綺窗	绮窗	qǐ chuāng	beautifully decorated window
綺筵	绮筵	qǐ yán	magnificent feast
綺繡	绮绣	qǐ xiù	silk material with grained pattern
綺羅	绮罗	qǐ luó	beautiful silk fabrics/person in beautiful silk dress
綺色佳	绮色佳	Qǐ sè jiā	Ithaca, Island state of Greece, the home of Odysseus 奧迪修斯|奥迪修斯[Ào dí xiū sī]/Ithaca NY (but pronounced [Yǐ sè jiā]), location of Cornell University 康奈爾|康奈尔[Kāng nài ěr]
綺衣	绮衣	qǐ yī	beautiful clothes
綺語	绮语	qǐ yǔ	flowery writing/writing concerning love and sex
綺貌	绮貌	qǐ mào	beautiful appearance
綺陌	绮陌	qǐ mò	splendid streets
綺雲	绮云	qǐ yún	beautiful clouds
綺靡	绮靡	qǐ mǐ	beautiful and intricate/ornate/gorgeous
綺麗	绮丽	qǐ lì	beautiful/enchanting
鴛綺	鸳绮	yuān qǐ	magnificent fabrics
