縛	缚	fù	to bind/to tie/Taiwan pr. [fú]
吊墜縛	吊坠缚	diào zhuì fù	strappado bondage
吐絲自縛	吐丝自缚	tǔ sī zì fù	to spin a cocoon around oneself (idiom); enmeshed in a trap of one's own devising/hoist with his own petard
手無縛雞之力	手无缚鸡之力	shǒu wú fù jī zhī lì	lit. lacking the strength even to truss a chicken (idiom)/fig. weak/unaccustomed to physical work
捆縛	捆缚	kǔn fù	bondage
束縛	束缚	shù fù	to bind/to restrict/to tie/to commit/fetters
棕縛	棕缚	zōng fù	palm fiber/rope of palm fiber/coir (coconut fiber)
綁縛	绑缚	bǎng fù	to tie up/to bind/to tether/bondage (BDSM)
作繭自縛	作茧自缚	zuò jiǎn zì fù	to spin a cocoon around oneself (idiom); enmeshed in a trap of one's own devising/hoist by his own petard
自縛手腳	自缚手脚	zì fù shǒu jiǎo	to bind oneself hand and foot
袒縛	袒缚	tǎn fù	to surrender after baring oneself to the waist and tying one's hands behind
造繭自縛	造茧自缚	zào jiǎn zì fù	to spin a cocoon around oneself (idiom); enmeshed in a trap of one's own devising/hoist with his own petard
