巒	峦	luán	mountain ranges
層巒疊嶂	层峦叠嶂	céng luán dié zhàng	range upon range of mountains (idiom)
山巒	山峦	shān luán	mountain range/unbroken chain of peaks
山巒重疊	山峦重叠	shān luán chóng dié	overlapping ranges of high mountains (idiom)
峰巒	峰峦	fēng luán	high mountain range/ridges and peaks
層巒	层峦	céng luán	range upon range of mountains
翠巒	翠峦	Cuì luán	Cuiluan district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
翠巒區	翠峦区	Cuì luán qū	Cuiluan district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
萬巒	万峦	Wàn luán	Wanluan township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
萬巒	万峦	wàn luán	hundreds and thousands of mountains
萬巒鄉	万峦乡	Wàn luán xiāng	Wanluan township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
重巒疊嶂	重峦叠嶂	chóng luán dié zhàng	range upon range of mountains (idiom)
