侖	仑	lún	to arrange
克侖特羅	克仑特罗	kè lún tè luō	clenbuterol
加侖	加仑	jiā lún	gallon (loanword)
北侖	北仑	Běi lún	Beilun district of Ningbo city 寧波市|宁波市[Níng bō shì], Zhejiang
北侖區	北仑区	Běi lún qū	Beilun district of Ningbo city 寧波市|宁波市[Níng bō shì], Zhejiang
庫侖	库仑	Kù lún	Charles-Augustin de Coulomb (1736-1806), French physicist
庫侖	库仑	kù lún	coulomb (unit of electric charge)
庫侖計	库仑计	Kù lún jì	voltameter
拿破侖	拿破仑	Ná pò lún	variant of 拿破崙|拿破仑[Ná pò lún]
昆都侖	昆都仑	Kūn dū lún	Kundulun district of Baotou city 包頭市|包头市[Bāo tóu shì], Inner Mongolia
昆都侖區	昆都仑区	Kūn dū lún qū	Kundulun district of Baotou city 包頭市|包头市[Bāo tóu shì], Inner Mongolia
紅加侖	红加仑	hóng jiā lún	redcurrant
鹽酸克侖特羅	盐酸克仑特罗	yán suān kè lún tè luō	clenbuterol hydrochloride (diet pill that burns fat)/e.g. Spiropent
黑加侖	黑加仑	hēi jiā lún	blackcurrant
