蟬	蝉	chán	cicada
寒蟬	寒蝉	hán chán	cicada in winter/fig. mournful sound
螳螂捕蟬	螳螂捕蝉	táng láng bǔ chán	the mantis stalks the cicada, unaware of the oriole behind (idiom, from Daoist classic Zhuangzi 莊子|庄子); to pursue a narrow gain while neglecting a greater danger
螳螂捕蟬，黃雀在後	螳螂捕蝉，黄雀在后	táng láng bǔ chán , huáng què zài hòu	the mantis stalks the cicada, unaware of the oriole behind (idiom, from Daoist classic Zhuangzi 莊子|庄子); to pursue a narrow gain while neglecting a greater danger
噤若寒蟬	噤若寒蝉	jìn ruò hán chán	to keep quiet out of fear (idiom)
蟬科	蝉科	chán kē	Cicadidae, homopterous insect family including cicada
蟬翼	蝉翼	chán yì	cicada's wing/fig. diaphanous/delicate texture
蟬聯	蝉联	chán lián	to continue in a post/(to hold a post) several times in succession/(to win a title) in successive years/to stay at number one/to defend a championship
蟬蛻	蝉蜕	chán tuì	cicada slough/fig. to free oneself/to extricate oneself from
蟬衣	蝉衣	chán yī	cicada slough (used in TCM)
蟬鳴	蝉鸣	chán míng	song of cicadas/chirping of insects
貂蟬	貂蝉	Diāo Chán	Diaochan (-192), one of the four legendary beauties 四大美女[sì dà měi nǚ], in fiction a famous beauty at the break-up of Han dynasty, given as concubine to usurping warlord Dong Zhuo 董卓[Dǒng Zhuó] to ensure his overthrow by fighting hero Lü Bu 呂布|吕布[Lǚ Bù]
金蟬	金蝉	Jīn chán	Golden Cicada
金蟬脫殼	金蝉脱壳	jīn chán tuō qiào	lit. the cicada sheds its carapace (idiom); fig. to vanish leaving an empty shell/a crafty escape plan
靜若寒蟬	静若寒蝉	jìng ruò hán chán	as quiet as a cicada in winter (idiom)
