債	债	zhài	debt/CL:筆|笔[bǐ]
中短債	中短债	zhōng duǎn zhài	short- or medium-term loan
了債	了债	liǎo zhài	to repay one's debt
人情債	人情债	rén qíng zhài	debt of gratitude
以債養債	以债养债	yǐ zhài yǎng zhài	debt nurtures more debt (idiom)
以身抵債	以身抵债	yǐ shēn dǐ zhài	forced labor to repay a debt
借債	借债	jiè zhài	to borrow money
借債人	借债人	jiè zhài rén	debtor/borrower
三角債	三角债	sān jiǎo zhài	triangular debt
債主	债主	zhài zhǔ	creditor
債券	债券	zhài quàn	bond/debenture
債務	债务	zhài wù	debt/liability/amount due/indebtedness
債務人	债务人	zhài wù rén	debtor
債務擔保證券	债务担保证券	zhài wù dān bǎo zhèng quàn	collateralized debt obligation (CDO), type of bond
債務證券	债务证券	zhài wù zhèng quàn	debt security/collateralized debt obligation (CDO), type of bond
債務證書	债务证书	zhài wù zhèng shū	debt instrument
債戶	债户	zhài hù	debtor
債權	债权	zhài quán	creditor's rights (law)
債權人	债权人	zhài quán rén	creditor
債權國	债权国	zhài quán guó	creditor country
債款	债款	zhài kuǎn	debt
債臺高築	债台高筑	zhài tái gāo zhù	lit. build a high desk of debt (idiom); heavily in debt
償債	偿债	cháng zhài	to repay a debt
公債	公债	gōng zhài	government bond
公債券	公债券	gōng zhài quàn	public bond
公司債	公司债	gōng sī zhài	corporate bonds (finance)
冤有頭，債有主	冤有头，债有主	yuān yǒu tóu , zhài yǒu zhǔ	for every grievance someone is responsible, for every debt there is a debtor (idiom)/when settling disputes one should not involve third parties
卡債	卡债	kǎ zhài	credit card debt
可轉債	可转债	kě zhuǎn zhài	convertible debt/convertible bond
國債	国债	guó zhài	national debt/government debt
外債	外债	wài zhài	foreign debt
宿債	宿债	sù zhài	long-standing debt
抵債	抵债	dǐ zhài	to repay a debt in kind or by labor
拖債	拖债	tuō zhài	to default on a debt
揹債	背债	bēi zhài	to be in debt/to be saddled with debts
放債	放债	fàng zhài	to lend money (for interest)/to give credit
政府債券	政府债券	zhèng fǔ zhài quàn	government bonds (investments)
欠債	欠债	qiàn zhài	to owe a debt/the sum owed
流動負債	流动负债	liú dòng fù zhài	current liability
煙花債	烟花债	yān huā zhài	involved in a love affair
短債	短债	duǎn zhài	short-term loan
租債	租债	zū zhài	rent and debt
舉債	举债	jǔ zhài	to raise a loan/to borrow money
血債	血债	xuè zhài	debt of blood (after killing sb)
血債累累	血债累累	xuè zhài lěi lěi	debts of blood crying out for retribution
血債血償	血债血偿	xuè zhài xuè cháng	A debt of blood must be paid in blood./Blood calls for blood.
血債要用血來償	血债要用血来偿	xuè zhài yào yòng xuè lái cháng	A debt of blood must be paid in blood./Blood calls for blood.
血債要用血來還	血债要用血来还	xuè zhài yào yòng xuè lái huán	A debt of blood must be paid in blood./Blood calls for blood.
討債	讨债	tǎo zhài	to demand repayment
負債	负债	fù zhài	to be in debt/to incur debts/liability (finance)
負債累累	负债累累	fù zhài lěi lěi	deep in debt
資產負債表	资产负债表	zī chǎn fù zhài biǎo	balance sheet
躲債	躲债	duǒ zhài	to dodge a creditor
逃債	逃债	táo zhài	to dodge a creditor
連動債	连动债	lián dòng zhài	structured note (finance)
逼債	逼债	bī zhài	to press for payment of debts/to dun
還債	还债	huán zhài	to settle a debt
風流債	风流债	fēng liú zhài	lit. love debt/fig. moral obligation in consequence of a love affair/karmic consequences of a love affair
