崗	岗	gǎng	mound/policeman's beat
下崗	下岗	xià gǎng	to come off sentry duty/to lay off (a worker)/laid-off
串崗	串岗	chuàn gǎng	to leave one's post during working hours
伍家崗	伍家岗	Wǔ jiā gǎng	Wujiagang district of Yichang city 宜昌市[Yí chāng shì], Hubei
伍家崗區	伍家岗区	Wǔ jiā gǎng qū	Wujiagang district of Yichang city 宜昌市[Yí chāng shì], Hubei
南崗	南岗	Nán gǎng	Nangang district of Harbin 哈爾濱|哈尔滨[Hā ěr bīn] in Heilongjiang
南崗區	南岗区	Nán gǎng qū	Nangang district of Harbin 哈爾濱|哈尔滨[Hā ěr bīn] in Heilongjiang
土崗	土岗	tǔ gǎng	mound/hillock
上崗	上岗	shàng gǎng	to take up one's post/to be given a job
崗仁波齊	岗仁波齐	Gǎng rén bō qí	Mt Gang Rinpoche in Tibet/also written 岡仁波齊|冈仁波齐
崗位	岗位	gǎng wèi	a post/a job
崗哨	岗哨	gǎng shào	lookout post/sentry
崗巴	岗巴	Gǎng bā	Gamba county, Tibetan: Gam pa rdzong, in Shigatse prefecture, Tibet
崗巴縣	岗巴县	Gǎng bā xiàn	Gamba county, Tibetan: Gam pa rdzong, in Shigatse prefecture, Tibet
崗樓	岗楼	gǎng lòu	watchtower/observation tower/police booth
弄崗穗鶥	弄岗穗鹛	Nòng gǎng suì méi	(bird species of China) Nonggang babbler (Stachyris nonggangensis)
愛崗敬業	爱岗敬业	ài gǎng jìng yè	industrious and hard-working/conscientious and meticulous
換崗	换岗	huàn gǎng	to relieve a sentry/to change the guard
明崗暗哨	明岗暗哨	míng gǎng àn shào	both covert and undercover (officers) keeping watch (idiom)
查崗	查岗	chá gǎng	to check the guard posts/(coll.) to check up on sb (spouse, employee etc)
石崗	石岗	Shí Gǎng	Shek Kong (area in Hong Kong)
站崗	站岗	zhàn gǎng	to stand guard/to serve on sentry duty
紅崗	红岗	Hóng gǎng	Honggang district of Daqing city 大慶|大庆[Dà qìng], Heilongjiang
紅崗區	红岗区	Hóng gǎng qū	Honggang district of Daqing city 大慶|大庆[Dà qìng], Heilongjiang
紅花崗	红花岗	Hóng huā gǎng	Honghua district of Zunyi city 遵義市|遵义市[Zūn yì shì], Guizhou
紅花崗區	红花岗区	Hóng huā gǎng qū	Honghua district of Zunyi city 遵義市|遵义市[Zūn yì shì], Guizhou
脫崗	脱岗	tuō gǎng	to take time off/to take leave (e.g. for study)/to skive off work
臥龍崗	卧龙岗	Wò lóng gǎng	Wollongong, Australia
花崗岩	花岗岩	huā gāng yán	granite
花崗石	花岗石	huā gāng shí	granite
蘿崗	萝岗	Luó gǎng	Luogang district of Guangzhou city 廣州市|广州市[Guǎng zhōu shì], Guangdong
蘿崗區	萝岗区	Luó gǎng qū	Luogang district of Guangzhou city 廣州市|广州市[Guǎng zhōu shì], Guangdong
西崗區	西岗区	Xī gǎng qū	Xigang district of Dalian 大連市|大连市[Dà lián shì], Liaoning
設崗	设岗	shè gǎng	to post a sentry
返崗	返岗	fǎn gǎng	to resume one's former position/to return to work
門崗	门岗	mén gǎng	gate
頂崗	顶岗	dǐng gǎng	to replace sb on a workshift/to substitute for
鶴崗	鹤岗	Hè gǎng	Hegang prefecture-level city in Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
鶴崗市	鹤岗市	Hè gǎng shì	Hegang prefecture-level city in Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
黃花崗	黄花岗	Huáng huā gǎng	Huanghuagang (Chrysanthemum Hill) in Guangzhou, scene of disastrous uprising of 23rd April 1911
黃花崗七十二烈士	黄花岗七十二烈士	Huáng huā gāng qī shí èr liè shì	the seventy two martyrs of the Huanghuagang uprising of 23rd April 1911
黃花崗起義	黄花岗起义	Huáng huā gǎng qǐ yì	Huanghuagang uprising of 23rd April 1911 in Guangzhou, one a long series of unsuccessful uprisings of Sun Yat-sen's revolutionary party
龍崗	龙岗	Lóng gǎng	Longgang district of Shenzhen City 深圳市, Guangdong
龍崗區	龙岗区	Lóng gǎng qū	Longgang district of Shenzhen City 深圳市, Guangdong
