錦	锦	jǐn	brocade/embroidered work/bright
世錦賽	世锦赛	shì jǐn sài	world championship
什錦	什锦	shí jǐn	(food) assorted/mixed/assortment
什錦果盤	什锦果盘	shí jǐn guǒ pán	mixed fruit salad
八段錦	八段锦	bā duàn jǐn	"eight pieces of brocade," a set of qigong exercises with assumed medical benefits
十錦	十锦	shí jǐn	variant of 什錦|什锦[shí jǐn]
富錦	富锦	Fù jǐn	Fujin county level city in Kiamusze or Jiamusi 佳木斯[Jiā mù sī], Heilongjiang
富錦市	富锦市	Fù jǐn shì	Fujin county level city in Kiamusze or Jiamusi city 佳木斯[Jiā mù sī], Heilongjiang
文錦渡	文锦渡	Wén Jǐn Dù	Man Kam To (place in Hong Kong)
杭錦	杭锦	Háng jǐn	Hanggin banner, Mongolian Xanggin khoshuu, in Ordos prefecture 鄂爾多斯|鄂尔多斯[È ěr duō sī], Inner Mongolia
杭錦後旗	杭锦后旗	Háng jǐn hòu qí	Hanggin Rear banner or Xanggin Xoit khoshuu in Bayan Nur 巴彥淖爾|巴彦淖尔[Bā yàn nào ěr], Inner Mongolia
杭錦旗	杭锦旗	Háng jǐn qí	Hanggin banner, Mongolian Xanggin khoshuu, in Ordos prefecture 鄂爾多斯|鄂尔多斯[È ěr duō sī], Inner Mongolia
濯錦以魚	濯锦以鱼	zhuó jǐn yǐ yú	to make the ugly beautiful (idiom)
白腹錦雞	白腹锦鸡	bái fù jǐn jī	(bird species of China) Lady Amherst's pheasant (Chrysolophus amherstiae)
盤錦	盘锦	Pán jǐn	Panjin prefecture level city in Liaoning province 遼寧省|辽宁省 in northeast China
盤錦市	盘锦市	Pán jǐn shì	Panjin prefecture level city in Liaoning province 遼寧省|辽宁省 in northeast China
紅腹錦雞	红腹锦鸡	hóng fù jǐn jī	(bird species of China) golden pheasant (Chrysolophus pictus)
經錦	经锦	jīng jǐn	warp brocade/woven fabric with single colored woof but many-colored warp
緯錦	纬锦	wěi jǐn	woof brocade/woven fabric with many-colored woof
織金錦	织金锦	zhī jīn jǐn	gilt brocade
織錦	织锦	zhī jǐn	brocade/silk fabric with colored pattern
胡錦濤	胡锦涛	Hú Jǐn tāo	Hu Jintao (1942-), General Secretary of the CCP 2002-2012, president of the PRC 2003-2013
花團錦簇	花团锦簇	huā tuán jǐn cù	brightly colored decorations (idiom)/splendid
蜀錦	蜀锦	Shǔ jǐn	brocade from Sichuan
衣錦榮歸	衣锦荣归	yī jǐn róng guī	to come back to one's hometown in silken robes (idiom); to return in glory
衣錦還鄉	衣锦还乡	yì jǐn huán xiāng	to come back to one's hometown in silken robes (idiom); to return in glory
三索錦蛇	三索锦蛇	sān suǒ jǐn shé	copperhead race (Elaphe radiata), kind of snake
錦上添花	锦上添花	jǐn shàng tiān huā	lit. on brocade, add flowers (idiom); to decorate sth already perfect/gilding the lily
錦囊	锦囊	jǐn náng	silk brocade bag, used in ancient times to hold poetry manuscripts and other precious items/(fig.) tip (a piece of practical advice)
錦囊妙計	锦囊妙计	jǐn náng miào jì	brocade sack of miracle plans (idiom); bag of tricks/fiendishly cunning masterplan (written out by strategic genius of fiction, and given to the local commander in a brocade bag)
錦屏	锦屏	Jǐn píng	Jinping county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
錦屏縣	锦屏县	Jǐn píng xiàn	Jinping county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
錦州	锦州	Jǐn zhōu	Jinzhou prefecture-level city in Liaoning province 遼寧省|辽宁省 in northeast China
錦州市	锦州市	Jǐn zhōu shì	Jinzhou prefecture-level city in Liaoning province 遼寧省|辽宁省 in northeast China
錦心繡口	锦心绣口	jǐn xīn xiù kǒu	(of writing) elegant and ornate
錦標	锦标	jǐn biāo	prize/trophy/title
錦標賽	锦标赛	jǐn biāo sài	championship contest/championships
錦江	锦江	Jǐn jiāng	Jinjiang district of Chengdu city 成都市[Chéng dū shì], Sichuan
錦江區	锦江区	Jǐn jiāng qū	Jinjiang district of Chengdu city 成都市[Chéng dū shì], Sichuan
錦緞	锦缎	jǐn duàn	brocade
錦縣	锦县	Jǐn xiàn	Jin county in Liaoning
錦繡	锦绣	jǐn xiù	beautiful
錦繡前程	锦绣前程	jǐn xiù qián chéng	bright future/bright prospects
錦葵	锦葵	jǐn kuí	common mallow (Malva sinesis), used in TCM
錦衣玉食	锦衣玉食	jǐn yī yù shí	brocade garments, jade meals (idiom); a life of luxury/extravagance
錦西	锦西	Jǐn xī	Jinxi town, now part of Nanpiao district 南票[Nán piào] of Huludao city 葫蘆島市|葫芦岛市[Hú lú dǎo shì], Liaoning
錦西縣	锦西县	Jǐn xī xiàn	former Jinxi county, now part of Nanpiao district 南票[Nán piào] of Huludao city 葫蘆島市|葫芦岛市[Hú lú dǎo shì], Liaoning
錦雞	锦鸡	jǐn jī	golden pheasant
錦鯉	锦鲤	jǐn lǐ	koi (Cyprinus carpio haematopterus)
集錦	集锦	jí jǐn	best of the best/collection of the best (of sth)
