鍋	锅	guō	pot/pan/boiler/CL:口[kǒu],隻|只[zhī]
一粒老鼠屎壞了一鍋粥	一粒老鼠屎坏了一锅粥	yī lì lǎo shǔ shǐ huài le yī guō zhōu	lit. a piece of rat feces spoiled the whole pot of congee (idiom)/fig. one bad apple can spoil the whole bunch
一鍋端	一锅端	yī guō duān	see 連鍋端|连锅端 [lián guō duān]
一鍋粥	一锅粥	yī guō zhōu	(lit.) a pot of porridge/(fig.) a complete mess
一顆老鼠屎壞了一鍋湯	一颗老鼠屎坏了一锅汤	yī kē lǎo shǔ shǐ huài le yī guō tāng	lit. a piece of rat feces spoiled the whole pot of soup (idiom)/fig. one bad apple can spoil the whole bunch
一顆老鼠屎壞了一鍋粥	一颗老鼠屎坏了一锅粥	yī kē lǎo shǔ shǐ huài le yī guō zhōu	see 一粒老鼠屎壞了一鍋粥|一粒老鼠屎坏了一锅粥[yī lì lǎo shǔ shǐ huài le yī guō zhōu]
不到火候不揭鍋	不到火候不揭锅	bù dào huǒ hòu bù jiē guō	don't act until the time is ripe (idiom)
不沾鍋	不沾锅	bù zhān guō	non-stick pan (Tw)
不粘鍋	不粘锅	bù zhān guō	non-stick pan
二鍋頭	二锅头	èr guō tóu	erguotou (sorghum liquor)
分鍋	分锅	fēn guō	(dialect) to set up separate households/(sports etc) to analyze the reasons for a defeat
反應鍋	反应锅	fǎn yìng guō	reaction pot (chemical engineering)/cauldron (at Hogwarts 霍格沃茨)
吃大鍋飯	吃大锅饭	chī dà guō fàn	lit. to eat from the common pot (idiom)/fig. to be rewarded the same, regardless of performance
吃著碗裡，看著鍋裡	吃着碗里，看着锅里	chī zhe wǎn lǐ , kàn zhe guō lǐ	lit. eyeing what's in the pot as one eats from one's bowl (idiom)/not content with what one already has/(of men, typically) to have the wandering eye
吃著碗裡，瞧著鍋裡	吃着碗里，瞧着锅里	chī zhe wǎn lǐ , qiáo zhe guō lǐ	see 吃著碗裡，看著鍋裡|吃着碗里，看着锅里[chī zhe wǎn lǐ , kàn zhe guō lǐ]
回鍋	回锅	huí guō	to cook again/to rewarm food
回鍋油	回锅油	huí guō yóu	to use the same oil repeatedly for deep frying (a possible health hazard)
