鑼	锣	luó	gong/CL:面[miàn]
敲打鑼鼓	敲打锣鼓	qiāo dǎ luó gǔ	lit. to beat a gong; fig. to irritate sb/a provocation
敲鑼	敲锣	qiāo luó	to beat a gong
敲鑼邊兒	敲锣边儿	qiāo luó biān er	to strike the edge of the gong/(fig.) to stir the pot (i.e. cause or exacerbate a dispute)
終場鑼聲	终场锣声	zhōng chǎng luó shēng	the final bell (esp. in sports competition)
聽話聽聲，鑼鼓聽音	听话听声，锣鼓听音	tīng huà tīng shēng , luó gǔ tīng yīn	to understand the unspoken implications (idiom)
銅鑼	铜锣	Tóng luó	Tongluo or Tunglo township in Miaoli county 苗栗縣|苗栗县[Miáo lì xiàn], northwest Taiwan
銅鑼	铜锣	tóng luó	gong
銅鑼灣	铜锣湾	Tóng luó Wān	Causeway Bay
銅鑼燒	铜锣烧	tóng luó shāo	dorayaki (a Japanese confection)
銅鑼鄉	铜锣乡	Tóng luó xiāng	Tongluo or Tunglo township in Miaoli county 苗栗縣|苗栗县[Miáo lì xiàn], northwest Taiwan
廝鑼	厮锣	sī luó	small gong
鑼聲	锣声	luó shēng	sound of gong
鑼鼓	锣鼓	luó gǔ	gongs and drums/Chinese percussion instruments
鑼鼓點	锣鼓点	luó gǔ diǎn	Chinese percussion fixed pattern/percussion rhythm
鑼齊鼓不齊	锣齐鼓不齐	luó qí gǔ bù qí	not well coordinated (idiom)
開臺鑼鼓	开台锣鼓	kāi tái luó gǔ	opening gong/gong strokes announcing start of opera performance
開鑼	开锣	kāi luó	to beat the gong to open a performance
開鑼喝道	开锣喝道	kāi luó hè dào	to clear a street by banging gongs and shouting loudly (idiom)
鳴鑼	鸣锣	míng luó	to beat a gong
鳴鑼開道	鸣锣开道	míng luó kāi dào	to beat the gong to clear the way/(fig.) to pave the way for sth
