渾	浑	hún	muddy/to mix
吐谷渾	吐谷浑	Tǔ yù hún	Tuyuhun, a Xianbei 鮮卑|鲜卑 nomadic people/a state in Qinhai in 4th-7th century AD
渾儀註	浑仪注	hún yí zhù	book by Han dynasty astronomer Zhang Heng
渾厚	浑厚	hún hòu	simple and honest/unsophisticated/(music etc) deep and resounding
渾圓	浑圆	hún yuán	perfectly round/(fig.) accommodating/considerate/smooth (way of doing things)
渾天儀	浑天仪	hún tiān yí	armillary sphere (astronomy)
渾天說	浑天说	hún tiān shuō	geocentric theory in ancient Chinese astronomy
渾如	浑如	hún rú	very similar
渾家	浑家	hún jiā	wife
渾水摸魚	浑水摸鱼	hún shuǐ mō yú	to fish in troubled water (idiom); to take advantage of a crisis for personal gain
渾汗如雨	浑汗如雨	hún hàn rú yǔ	to drip with sweat
渾河	浑河	Hún Hé	Hun River
渾渾噩噩	浑浑噩噩	hún hún è è	muddleheaded
渾源	浑源	Hún yuán	Hunyuan county in Datong 大同[Dà tóng], Shanxi
渾源縣	浑源县	Hún yuán xiàn	Hunyuan county in Datong 大同[Dà tóng], Shanxi
渾濁	浑浊	hún zhuó	muddy/turbid
渾然	浑然	hún rán	completely/absolutely/undivided/totally mixed up/muddled
渾然一體	浑然一体	hún rán yī tǐ	to blend into one another/to blend together well
渾然不知	浑然不知	hún rán bù zhī	to be totally oblivious (to sth)/to have no idea about sth
渾然不覺	浑然不觉	hún rán bù jué	totally unaware
渾然天成	浑然天成	hún rán tiān chéng	to resemble nature itself/of the highest quality (idiom)
渾球	浑球	hún qiú	variant of 混球[hún qiú]
渾球兒	浑球儿	hún qiú r5	variant of 混球兒|混球儿[hún qiú r5]
渾脫	浑脱	hún tuō	leather float/inflatable raft
渾茫	浑茫	hún máng	the dark ages before civilization/limitless reaches/vague and confused
渾號	浑号	hún hào	nickname
渾蛋	浑蛋	hún dàn	variant of 混蛋[hún dàn]
渾身	浑身	hún shēn	all over/from head to foot
渾身上下	浑身上下	hún shēn shàng xià	all over/from head to toe
渾身解數	浑身解数	hún shēn xiè shù	to give it your all/to go at it with all you've got/to throw your whole weight behind it/also pr. [hún shēn jiě shù]
漏水轉渾天儀	漏水转浑天仪	lòu shuǐ zhuàn hún tiān yí	water-driven armillary sphere (Zhang Heng's famous astronomical apparatus)
犯渾	犯浑	fàn hún	confused/mixed up/muddled up/befuddled
趟渾水	趟浑水	tāng hún shuǐ	(fig.) to get involved in an unsavory enterprise
蹚渾水	蹚浑水	tāng hún shuǐ	variant of 趟渾水|趟浑水[tāng hún shuǐ]
轉渾天儀	转浑天仪	zhuàn hún tiān yí	armillary sphere (astronomy)
阿月渾子	阿月浑子	ā yuè hún zi	pistachio
阿月渾子實	阿月浑子实	ā yuè hún zǐ shí	pistachio nut
阿月渾子樹	阿月浑子树	ā yuè hún zǐ shù	pistachio tree
雄渾	雄浑	xióng hún	vigorous/firm/forceful
