渴	渴	kě	thirsty
充飢止渴	充饥止渴	chōng jī zhǐ kě	to allay one's hunger and slake one's thirst (idiom)
口渴	口渴	kǒu kě	thirsty
如飢似渴	如饥似渴	rú jī sì kě	to hunger for sth (idiom); eagerly/to long for sth
望梅止渴	望梅止渴	wàng méi zhǐ kě	lit. to quench one's thirst by thinking of plums (idiom)/fig. to console oneself with illusions
消渴	消渴	xiāo kě	condition characterized by thirst, hunger, frequent urination and weight loss, identified in TCM with type 2 diabetes
乾渴	干渴	gān kě	parched/dry mouth
渴不可耐	渴不可耐	kě bù kě nài	to be so thirsty as to no longer be able to tolerate it
渴慕	渴慕	kě mù	to thirst for
渴望	渴望	kě wàng	to thirst for/to long for
渴求	渴求	kě qiú	to long for/to crave for/to greatly desire
臨渴掘井	临渴掘井	lín kě jué jǐng	lit. not to dig a well until one is thirsty/to be unprepared and seek help at the last minute (idiom)
臨渴穿井	临渴穿井	lín kě chuān jǐng	lit. face thirst and dig a well (idiom); fig. not to make adequate provision/to act when it is too late
解渴	解渴	jiě kě	to quench
遠水不解近渴	远水不解近渴	yuǎn shuǐ bù jiě jìn kě	lit. distant water does not cure present thirst; fig. urgent need/a slow remedy does not address immediate needs
飢渴	饥渴	jī kě	hungry and thirsty/(fig.) to crave (knowledge, love etc)
飲鴆止渴	饮鸩止渴	yǐn zhèn zhǐ kě	lit. drinking poison in the hope of quenching one's thirst (idiom)/fig. a supposed remedy that only makes matters worse
