餡	馅	xiàn	stuffing/forcemeat/filling
天上掉餡餅	天上掉馅饼	tiān shàng diào xiàn bǐng	a meat pie falls from the sky (idiom)/to have something fall into your lap
夾餡	夹馅	jiā xiàn	stuffed (of food)/with filling
果餡餅	果馅饼	guǒ xiàn bǐng	tart
樂顛了餡	乐颠了馅	lè diān le xiàn	ecstatic/overjoyed
素餡	素馅	sù xiàn	vegetable filling
羊肉餡	羊肉馅	yáng ròu xiàn	minced mutton
肉餡	肉馅	ròu xiàn	ground meat/mincemeat
蘋果餡餅	苹果馅饼	píng guǒ xiàn bǐng	apple pie
露餡	露馅	lòu xiàn	to leak/to expose (sb's secret)/to spill the beans/to let the cat out of the bag
露餡兒	露馅儿	lòu xiàn r5	erhua variant of 露餡|露馅[lòu xiàn]
餕餡	馂馅	jùn xiàn	stuffing/force-meat/filling, e.g. in 包子[bǎo zi] or 餃子|饺子[jiǎo zi]
天上不會掉餡餅	天上不会掉馅饼	tiān shàng bù huì diào xiàn bǐng	there is no such thing as a free lunch (idiom)
餡兒	馅儿	xiàn r5	erhua variant of 餡|馅[xiàn]
餡兒餅	馅儿饼	xiàn r5 bǐng	erhua variant of 餡餅|馅饼[xiàn bǐng]
餡餅	馅饼	xiàn bǐng	meat pie/pie/pasty
