	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
村	cūn	village, hamlet; uncouth, vulgar	木 75.3	7	5	682	712
哈	hā	sound of laughter	口 30.6	9	5	1510	713
退	tuì	step back, retreat, withdraw	辵 162.6	9	5	1720	723
余	yú	I, my, me; surname; surplus	人 9.5	7	5	795	729
痛	tòng	pain, ache; sorry, sad; bitter	疒 104.7	12	5	2734	730
灵	líng	spirit, soul; spiritual world	彐 58.4	7	5	900	734
配	pèi	match, pair; equal; blend	酉 164.3	10	5	1858	738
征	zhēng	invade, attack, conquer	彳 60.5	8	5	1159	739
挥	huī	direct; wipe away; squander	手 64.6	9	5	1396	742
胜	shèng	victory; excel, be better than	肉 130.5	9	5	1594	743
阶	jiē	stairs, steps; rank, degree	阜 170.4	6	5	574	745
沉	chén	sink, submerge; addicted to	水 85.4	7	5	871	747
善	shàn	good, virtuous, charitable, kind	口 30.9	12	5	2738	749
执	zhí	hold in hand; keep; carry out	手 64.3	6	5	363	763
追	zhuī	pursue, chase after; expel	辵 162.6	9	5	1577	768
宣	xuān	declare, announce, proclaim	宀 40.6	9	5	1695	770
佛	fú	Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.)	人 9.5	7	5	789	771
控	kòng	accuse, charge; control	手 64.8	11	5	2187	780
税	shuì	taxes	禾 115.7	12	5	2679	781
背	bèi	back; back side; behind; betray	肉 130.5	9	5	1467	787
阵	zhèn	column, row or file of troops	阜 170.4	6	5	571	788
恶	è	evil, wicked, bad, foul	心 61.6	10	5	1829	792
顿	dùn	pause, stop; bow, kowtow; arrange	頁 181.4	10	5	1877	794
守	shǒu	defend, protect, guard, conserve	宀 40.3	6	5	546	796
岛	dǎo	island	山 46.4	7	5	820	798
托	tuō	to hold up with palm; to support, rely on	手 64.3	6	5	359	799
烈	liè	fiery, violent, vehement, ardent	火 86.6	10	5	1871	802
索	suǒ	large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated	糸 120.4	10	5	1851	805
胡	hú	recklessly, foolishly; wildly	肉 130.5	9	5	1419	806
靠	kào	lean on, trust, depend on; near	非 175.7	15	5	3259	808
版	bǎn	printing blocks; edition	片 91.4	8	5	1143	810
宝	bǎo	treasure, jewel; precious, rare	宀 40.5	8	5	1274	811
欧	ōu	translit.: Europe; ohm; surname	欠 76.4	8	5	1053	823
核	hé	seed, kernel, core, nut; atom	木 75.6	10	5	1848	828
暗	àn	dark; obscure; in secret, covert	日 72.9	13	5	2909	829
良	liáng	good, virtuous, respectable	艮 138.1	7	5	884	835
升	shēng	arise, go up; hoist; advance	十 24.2	4	5	125	837
临	lín	draw near, approach; descend	丨 2.8	9	5	1471	839
架	jià	rack, stand, prop; prop up	木 75.5	9	5	1743	846
域	yù	district, region, boundary; land	土 32.8	11	5	2164	847
括	kuò	include, embrace, enclose	手 64.6	9	5	1383	850
编	biān	knit, weave; arrange; compile	糸 120.9	12	5	2822	858
测	cè	measure, estimate, conjecture	水 85.6	9	5	1670	861
屋	wū	house; room; building, shelter	尸 44.6	9	5	1722	863
渐	jiàn	gradually	水 85.8	11	5	2417	870
救	jiù	save, rescue, relieve; help, aid	攴 66.7	11	5	2232	872
枪	qiāng	spear, lance; gun, rifle	木 75.4	8	5	1027	874
县	xiàn	county, district, subdivision	厶 28.5	7	5	720	877
尚	shàng	still, yet; even; fairly, rather	小 42.5	8	5	1075	878
毫	háo	fine hair; measure of length	毛 82.7	11	5	2376	879
移	yí	change place, shift; move about	禾 115.6	11	5	2316	880
娘	niáng	mother; young girl; woman; wife	女 38.7	10	5	2144	881
智	zhì	wisdom, knowledge, intelligence	日 72.8	12	5	2670	885
掌	zhǎng	palm of hand, sole of foot, paw	手 64.8	12	5	2610	890
遗	yí	lose; articles lost; omit	辵 162.9	12	5	2633	892
固	gù	to become solid, solidify; strength	囗 31.5	8	5	1093	893
席	xí	seat; mat; take seat; banquet	巾 50.7	10	5	2023	894
秘	mì	secret, mysterious, abstruse	禾 115.5	10	5	1949	896
均	jūn	equal, even, fair; all, also	土 32.4	7	5	640	903
销	xiāo	melt, fuse; market, sell	金 167.7	12	5	2659	904
诗	shī	poetry; poem, verse, ode	言 149.6	8	5	1288	906
藏	cáng	hide, conceal; hoard, store up	艸 140.14	17	5	3392	907
损	sǔn	diminish; impair; injure	手 64.7	10	5	1798	911
忽	hū	suddenly, abruptly; neglect	心 61.4	8	5	1197	912
巨	jù	large, great, enormous; chief	工 48.2	4	5	101	913
炮	pào	large gun, cannon; artillery	火 86.5	9	5	1658	914
录	lù	copy, write down, record	彐 58.5	8	5	1304	919
乡	xiāng	country; rural; village	幺 52.0	3	5	73	922
庭	tíng	courtyard; spacious hall or yard	广 53.7	9	5	1624	931
妇	fù	married women; woman; wife	女 38.3	6	5	579	932
归	guī	return; return to, revert to	彐 58.2	5	5	234	933
含	hán	hold in mouth; cherish; contain	口 30.4	7	5	800	937
摇	yáo	wag, swing, wave; shake; scull	手 64.10	13	5	2841	940
补	bǔ	mend, patch, fix, repair, restore	衣 145.2	7	5	888	944
谓	wèi	say, tell; call, name; be called	言 149.9	11	5	2466	945
毒	dú	poison, venom; poisonous	毋 80.4	9	5	1362	947
疗	liáo	be healed, cured, recover	疒 104.2	7	5	834	949
逐	zhú	chase, expel; one by one	辵 162.7	10	5	1870	954
寻	xún	seek, search, look for; ancient	彐 58.3	6	5	563	962
厂	chǎng	factory, workshop; radical 27	厂 27.0	2	5	6	963
岸	àn	bank, shore; beach, coast	山 46.5	8	5	1105	971
炸	zhà	to fry in oil; to scald; to explode	火 86.5	9	5	1656	976
载	zài	load; carry; transport, convey	戈 62.6	10	5	1787	977
避	bì	avoid; turn aside; escape; hide	辵 162.13	16	5	3385	991
抓	zhuā	scratch; clutch, seize, grab	手 64.4	7	5	633	992
荣	róng	glory, honor; flourish, prosper	艸 140.6	9	5	1415	993
姑	gū		女 38.5	8	5	1325	994
逃	táo	escape, flee; abscond, dodge	辵 162.6	9	5	1588	996
顶	dǐng	top, summit, peak; to carry on the head	頁 181.2	8	5	971	1000
玉	yù	jade, precious stone, gem	玉 96.0	5	5	190	1001
迫	pò	coerce, force, compel; urgent	辵 162.5	8	5	1156	1006
洞	dòng	cave, grotto; ravine; hole	水 85.6	9	5	1669	1015
卷	juǎn	scroll; curl; make a comeback	卩 26.6	8	5	1231	1016
坦	tǎn	flat, smooth; self-possessed	土 32.5	8	5	962	1017
宁	níng	calm, peaceful, serene; healthy	宀 40.2	5	5	312	1019
训	xùn	teach, instruct; exegesis	言 149.3	5	5	319	1022
私	sī	private, personal; secret	禾 115.2	7	5	766	1023
丝	sī	silk; fine thread; wire; strings	一 1.4	5	5	347	1026
握	wò	grasp, hold fast, take by hand	手 64.9	12	5	2538	1032
骨	gǔ	bone; skeleton; frame, framework	骨 188.0	9	5	1523	1036
访	fǎng	visit; ask, inquire	言 149.4	6	5	561	1037
弱	ruò	weak; fragile, delicate	弓 57.7	10	5	2134	1038
鬼	guǐ	ghost; spirit of dead; devil	鬼 194.0	9	5	1573	1042
软	ruǎn	soft, flexible, pliable; weak	車 159.4	8	5	1062	1043
扩	kuò	expand, enlarge, stretch	手 64.3	6	5	364	1051
盖	gài	cover, hide, protect	皿 108.6	11	5	2400	1052
雄	xióng	male of species; hero; manly	隹 172.4	12	5	2596	1054
稳	wěn	stable, firm, solid, steady	禾 115.9	14	5	3118	1055
亿	yì	hundred million; many	人 9.1	3	5	44	1057
刺	cì	stab; prick, irritate; prod	刀 18.6	8	5	1039	1058
拥	yōng	embrace, hug, squeeze; crowd	手 64.5	8	5	974	1059
齐	qí	even, uniform, of equal length	齊 210.0	6	5	518	1063
虚	xū	FALSE	虍 141.5	11	5	2253	1071
析	xī	split wood; break apart; divide	木 75.4	8	5	1024	1073
透	tòu	penetrate, pass through	辵 162.7	10	5	1950	1077
替	tì	change, replace, substitute for	曰 73.8	12	5	2506	1079
途	tú	way, road, path, journey; course	辵 162.7	10	5	1982	1085
兄	xiōng	elder brother	儿 10.3	5	5	250	1089
迅	xùn	quick, hasty, rapid, sudden	辵 162.3	6	5	565	1090
套	tào	case, cover, wrapper, envelope	大 37.7	10	5	1869	1091
贸	mào	trade, barter; mixed; rashly	貝 154.5	9	5	1607	1092
唯	wéi	only; yes	口 30.8	11	5	2288	1094
轮	lún	wheel; revolve, turn; recur	車 159.4	8	5	1061	1096
库	kù	armory, treasury, storehouse	广 53.4	7	5	832	1097
迹	jī	traces, impressions, footprints	辵 162.6	9	5	1623	1098
促	cù	urge, press, hurry; close	人 9.7	9	5	1563	1102
延	yán	delay, postpone, defer	廴 54.4	6	5	464	1103
震	zhèn	shake, quake, tremor; excite	雨 173.7	15	5	3229	1104
甲	jiǎ	armor, shell; fingernails; 1st heavenly stem	田 102.0	5	5	239	1106
伟	wěi	great, robust; extraordinary	人 9.4	6	5	454	1107
缓	huǎn	slow, leisurely; to postpone, delay	糸 120.9	12	5	2818	1111
闪	shǎn	flash; avoid, dodge, evade	門 169.2	5	5	305	1113
哲	zhé	wise, sagacious; wise man, sage	口 30.7	10	5	1802	1117
络	luò	enmesh, wrap around; web, net	糸 120.6	9	5	1761	1118
纯	chún	pure, clean, simple	糸 120.4	7	5	931	1125
忍	rěn	endure, bear, suffer; forbear	心 61.3	7	5	925	1127
筑	zhù	ancient lute; build	竹 118.6	12	5	2682	1130
贝	bèi	sea shell; money, currency	貝 154.0	4	5	114	1133
振	zhèn	raise, excite, arouse action	手 64.7	10	5	1786	1140
圆	yuán	circle; round, circular; complete	囗 31.7	10	5	1922	1145
搞	gǎo	to clear, clarify	手 64.10	13	5	2842	1146
狂	kuáng	insane, mad; violent; wild	犬 94.4	7	5	811	1147
措	cuò	place; collect, arrange; employ	手 64.8	11	5	2162	1148
培	péi	bank up with dirt; cultivate	土 32.8	11	5	2184	1152
宽	kuān	broad, wide; spacious, vast	宀 40.7	10	5	2098	1155
摆	bǎi	put, place; display; swing, sway	手 64.10	13	5	2838	1158
伸	shēn	extend, stretch out, open up; trust	人 9.5	7	5	775	1161
摩	mó	rub, scour, grind; friction	手 64.11	15	5	3279	1162
悲	bēi	sorrow, grief; sorry, sad	心 61.8	12	5	2603	1166
拍	pāi	clap, tap, beat; beat or rhythm	手 64.5	8	5	970	1167
硬	yìng	hard, firm, strong; obstinate	石 112.7	12	5	2589	1170
麦	mài	wheat, barley, oats; simplified form of KangXi radical number 199	麥 199.0	7	5	601	1171
操	cāo	conduct, run, control, manage	手 64.13	16	5	3317	1173
阻	zǔ	impede, hinder, obstruct; oppose	阜 170.5	7	5	915	1175
订	dìng	draw up agreement; arrange	言 149.2	4	5	169	1176
赞	zàn	help, support, assist, aid	貝 154.12	16	5	3355	1179
纷	fēn	in disorder, scattered, tangled	糸 120.4	7	5	937	1181
喊	hǎn	shout, call out, yell; howl; cry	口 30.9	12	5	2623	1183
违	wéi	disobey, violate, defy; be apart from	辵 162.4	7	5	609	1184
汇	huì	concourse; flow together, gather	水 85.2	5	5	309	1187
币	bì	currency, coins, legal tender	巾 50.1	4	5	134	1188
殊	shū	different, special, unusual	歹 78.6	10	5	1872	1191
献	xiàn	offer, present; show, display	犬 94.9	13	5	2861	1192
裁	cái	cut out; decrease	衣 145.6	12	5	2532	1203
触	chù	butt, ram, gore; touch	角 148.6	13	5	2980	1207
敬	jìng	respect, honor; respectfully	攴 66.9	12	5	2553	1209
墙	qiáng	wall	土 32.11	14	5	3054	1212
召	zhào	imperial decree; summon	口 30.2	5	5	334	1214
罚	fá	penalty, fine; punish, penalize	网 122.4	9	5	1519	1215
享	xiǎng	enjoy	亠 8.6	8	5	1206	1227
犹	yóu	like, similar to, just like, as	犬 94.4	7	5	812	1230
彻	chè	penetrate, pervade; penetrating	彳 60.4	7	5	792	1240
描	miáo	copy, trace, sketch; depict	手 64.9	11	5	2163	1246
妙	miào	mysterious, subtle; exquisite	女 38.4	7	5	919	1250
彼	bǐ	that, there, those	彳 60.5	8	5	1162	1256
仿	fǎng	imitate, copy; as if	人 9.4	6	5	474	1259
闭	bì	shut, close; obstruct, block up	門 169.3	6	5	527	1267
庆	qìng	congratulate, celebrate	广 53.3	6	5	515	1269
泪	lèi	tears; weep, cry	水 85.5	8	5	1246	1271
朗	lǎng	clear, bright; distinct	月 74.7	10	5	2109	1276
尾	wěi	tail, extremity; end, stern	尸 44.4	7	5	905	1282
偷	tōu	to steal, burglar, thief	人 9.9	11	5	2330	1284
虫	chóng	insects, worms; KangXi radical 142	虫 142.0	6	5	423	1287
淡	dàn	weak, watery; insipid, tasteless	水 85.8	11	5	2430	1293
恨	hèn	hatred, dislike; resent, hate	心 61.6	9	5	1692	1295
繁	fán	complicated, complex, difficult	糸 120.11	17	5	3419	1296
伴	bàn	companion, comrade, partner; accompany	人 9.5	7	5	785	1298
旦	dàn	dawn; morning; day	日 72.1	5	5	235	1300
潮	cháo	tide; moist, wet, damp; flow	水 85.12	15	5	3292	1302
粮	liáng	food, grain, provisions	米 119.7	13	5	2998	1303
缩	suō	contract, draw in, reduce	糸 120.11	14	5	3188	1304
挑	tiāo	a load carried on the shoulders; to carry	手 64.6	9	5	1387	1309
灰	huī	ashes; dust; lime, mortar	火 86.2	6	5	397	1311
珍	zhēn	precious, valuable, rare	玉 96.5	9	5	1358	1314
幕	mù	curtain, screen, tent	巾 50.11	13	5	2854	1315
映	yìng	project; reflect light	日 72.5	9	5	1487	1316
隔	gé	separate, partition	阜 170.10	12	5	2805	1319
启	qǐ	open; begin, commence; explain	口 30.4	7	5	886	1320
泛	fàn	to drift, float; careless, reckless	水 85.5	7	5	865	1327
偿	cháng	repay, recompense; restitution	人 9.9	11	5	2327	1329
呆	dāi	dull; dull-minded, simple, stupid	口 30.4	7	5	722	1338
衡	héng	measure, weigh, judge, consider	行 144.10	16	5	3363	1340
舍	shě	house, dwelling; dwell, reside	舌 135.2	8	5	1165	1344
婆	pó	old woman; grandmother	女 38.8	11	5	2435	1347
灾	zāi	calamity, disaster, catastrophe	火 86.3	7	5	883	1349
胆	dǎn	gall bladder; bravery, courage	肉 130.5	9	5	1593	1352
俗	sú	social customs; vulgar, unrefined	人 9.7	9	5	1568	1354
辩	biàn	dispute, argue, debate, discuss	辛 160.9	16	5	3372	1355
胸	xiōng	breast, bosom, chest; thorax	肉 130.6	10	5	1996	1356
劲	jìn	strong, unyielding, tough, power	力 19.5	7	5	926	1358
辑	jí	gather up, collect; edit, compile	車 159.9	13	5	2889	1362
恢	huī	restore; big, great, immense, vast	心 61.6	9	5	1686	1364
圈	quān	to circle; a circle; corral	囗 31.8	11	5	2302	1366
摸	mō	gently touch with hand; caress	手 64.11	13	5	2833	1367
润	rùn	soft, moist; sleek; freshen	水 85.7	10	5	2081	1369
堆	duī	heap, pile, crowd; pile up	土 32.8	11	5	2173	1370
碰	pèng	collide, bump into	石 112.8	13	5	2880	1371
废	fèi	abrogate, terminate, discard	广 53.5	8	5	1220	1376
壁	bì	partition wall; walls of a house	土 32.13	16	5	3384	1380
吹	chuī	blow; puff; brag, boast	口 30.4	7	5	744	1390
糊	hú	paste, stick on with paste	米 119.9	15	5	3287	1393
盾	dùn	shield, shield-shaped object; currency sign for Dutch guilder	目 109.4	9	5	1579	1395
乏	fá	lack; poor	丿 4.4	4	5	147	1399
诊	zhěn	examine patient, diagnose	言 149.5	7	5	896	1401
摄	shè	take in, absorb; act as deputy	手 64.10	13	5	2832	1403
凭	píng	lean on, depend on, rely on	几 16.6	8	5	1148	1410
抢	qiǎng	plunder, rob, take by force	手 64.4	7	5	637	1412
绪	xù	end of thread; thread, clue	糸 120.8	11	5	2487	1413
肩	jiān	shoulders; to shoulder; bear	肉 130.4	8	5	1289	1415
幻	huàn	illusion, fantasy, mirage	幺 52.1	4	5	189	1417
碎	suì	break, smash; broken, busted	石 112.8	13	5	2879	1420
综	zōng	arrange threads for weaving	糸 120.8	11	5	2496	1425
返	fǎn	return, revert to, restore	辵 162.4	7	5	794	1430
薄	báo	thin, slight, weak; poor, stingy	艸 140.13	16	5	3326	1433
悄	qiāo	silent, quiet, still; anxious	心 61.7	10	5	2092	1434
敏	mǐn	fast, quick, clever, smart	攴 66.7	11	5	2323	1436
碍	ài	obstruct, hinder, block, deter	石 112.8	13	5	2876	1437
矛	máo	spear, lance; KangXi radical 110	矛 110.0	5	5	343	1441
幅	fú	piece, strip, breadth of, hem	巾 50.9	12	5	2648	1444
颗	kē	grain, kernel	頁 181.8	14	5	3100	1448
骂	mà	accuse, blame, curse, scold	口 30.6	9	5	1505	1449
赏	shǎng	reward, grant, bestow; appreciate	貝 154.8	12	5	2609	1450
贴	tiē	paste to, stick on; attached to	貝 154.5	9	5	1521	1454
腰	yāo	waist; kidney	肉 130.9	13	5	2969	1458
眉	méi	eyebrows; upper margin of book	目 109.4	9	5	1729	1460
恋	liàn	love; long for, yearn for; love	心 61.6	10	5	2016	1464
吓	xià	scare, frighten; intimidate	口 30.3	6	5	422	1466
辞	cí	words, speech, expression, phrase	舌 135.7	13	5	2947	1469
尺	chǐ		尸 44.1	4	5	175	1474
辈	bèi	generation, lifetime; class	非 175.4	12	5	2602	1477
滑	huá	slip, slide; slippery, polished	水 85.10	12	5	2761	1480
绕	rào	entwine; wind around; surround	糸 120.6	9	5	1755	1485
趋	qū	hasten, hurry; be attracted to	走 156.5	12	5	2516	1486
胁	xié	ribs, armpits; flank; threaten	肉 130.4	8	5	1191	1494
插	chā	insert, stick into; plant	手 64.9	12	5	2526	1495
慧	huì	bright, intelligent; intelligence	心 61.11	15	5	3189	1505
媒	méi	go-between, matchmaker; medium	女 38.9	12	5	2808	1506
佩	pèi	belt ornament, pendant; wear at waist, tie to the belt; respect	人 9.6	8	5	1150	1507
豪	háo	brave, heroic, chivalrous	豕 152.7	14	5	3141	1513
兼	jiān	unite, combine; connect; and	八 12.8	10	5	2056	1515
跃	yuè	skip, jump, frolic	足 157.4	11	5	2276	1516
肃	sù	pay respects; reverently	聿 129.4	8	5	1303	1518
驶	shǐ	sail, drive, pilot; fast, quick	馬 187.5	8	5	1341	1520
届	jiè	numerary adjunct for time, term	尸 44.5	8	5	1309	1522
欣	xīn	happy, joyous, delighted	欠 76.4	8	5	1158	1523
惠	huì	favor, benefit, confer kindness	心 61.8	12	5	2580	1524
册	cè	book, volume, register, list	冂 13.3	5	5	290	1525
飘	piāo	whirlwind, cyclone; floating	風 182.11	15	5	3221	1527
闲	xián	fence, guard; defend; idle time	門 169.4	7	5	846	1529
频	pín	frequently, again and again	頁 181.7	13	5	2892	1535
递	dì	hand over, deliver; substitute	辵 162.7	10	5	2064	1538
撞	zhuàng	knock against, bump into, collide	手 64.12	15	5	3202	1540
滚	gǔn	turn	水 85.11	13	5	3015	1542
贡	gòng	offer tribute; tribute, gifts	貝 154.3	7	5	627	1548
疯	fēng	crazy, insane, mentally ill	疒 104.4	9	5	1626	1549
瞧	qiáo	glance at, look at, see	目 109.12	17	5	3402	1551
燃	rán	burn; light fire, ignite	火 86.12	16	5	3376	1553
锁	suǒ	lock, padlock; shackles, chains	金 167.7	12	5	2660	1558
劝	quàn	recommend, advise, urge	力 19.2	4	5	186	1562
搜	sōu	search, seek; investigate	手 64.9	12	5	2528	1564
勤	qín	industrious, diligent, attentive	力 19.11	13	5	2848	1565
戒	jiè	warn, caution, admonish	戈 62.3	7	5	606	1566
驾	jià	to drive, sail, fly; a cart, carriage	馬 187.5	8	5	1332	1567
柔	róu	soft; gentle, pliant	木 75.5	9	5	1750	1573
腐	fǔ	rot, decay, spoil; rotten	肉 130.8	14	5	3144	1576
幼	yòu	infant, young child; immature	幺 52.2	5	5	346	1577
践	jiàn	trample, tread upon, walk on	足 157.5	12	5	2628	1578
浓	nóng	thick, strong, concentrated	水 85.6	9	5	1682	1585
竹	zhú	bamboo; flute; KangXi radical 118	竹 118.0	6	5	450	1588
逻	luó	patrol; inspect; watch; patrol	辵 162.8	11	5	2295	1591
遵	zūn	obey, comply with, follow; honor	辵 162.12	15	5	3288	1593
饰	shì	decorate, ornament, adorn	食 184.5	8	5	1201	1604
贷	dài	lend; borrow; pardon	貝 154.5	9	5	1558	1605
叙	xù	express, state, relate, narrate	又 29.7	9	5	1586	1607
沟	gōu	ditch, drain, narrow waterway	水 85.4	7	5	868	1610
扶	fú	support, help; protect; hold on	手 64.4	7	5	612	1612
寿	shòu	old age, long life; lifespan	寸 41.4	7	5	599	1615
询	xún	inquire into, ask about; consult	言 149.6	8	5	1299	1617
匆	cōng	hastily, in haste, hurriedly	勹 20.3	5	5	289	1622
奈	nài	but, how; bear, stand, endure	大 37.5	8	5	1048	1624
慰	wèi	comfort, console, calm	心 61.11	15	5	3310	1632
怨	yuàn	hatred, enmity, resentment	心 61.5	9	5	1608	1637
躲	duǒ	hide, secrete; avoid, escape	身 158.6	13	5	2962	1644
紫	zǐ	purple, violet; amethyst; surname	糸 120.5	12	5	2604	1646
艰	jiān	difficult, hard; distressing	又 29.6	8	5	1335	1647
慌	huāng	nervous, panicky, frantic	心 61.10	12	5	2771	1650
吐	tǔ	vomit, spew out, cough up	口 30.3	6	5	421	1653
咬	yǎo	bite, gnaw	口 30.6	9	5	1512	1658
挤	jǐ	crowd, squeeze, push against	手 64.6	9	5	1392	1661
弯	wān	bend, curve	弓 57.6	9	5	1616	1662
雾	wù	fog, mist, vapor, fine spray	雨 173.5	13	5	2886	1670
屈	qū	bend, flex; bent, crooked; crouch	尸 44.5	8	5	1311	1684
蛇	shé	snake	虫 142.5	11	5	2280	1689
鼠	shǔ	rat, mouse; KangXi radical 208	鼠 208.0	13	5	2958	1693
吨	dūn	metric ton; (Cant.) to babble, gibberish	口 30.4	7	5	730	1700
池	chí	pool, pond; moat; cistern	水 85.3	6	5	540	1709
冠	guān	cap, crown, headgear	冖 14.7	9	5	1705	1713
尘	chén	dust, dirt, ashes, cinders	小 42.3	6	5	414	1718
浅	qiǎn	shallow, not deep; superficial	水 85.5	8	5	1240	1721
喷	pēn	spurt, blow out, puff out	口 30.9	12	5	2618	1729
凌	líng	pure; virtuous; insult; maltreat	冫 15.8	10	5	2014	1731
赔	péi	indemnify, suffer loss	貝 154.8	12	5	2654	1734
涂	tú	surname; name of certain rivers	水 85.7	10	5	2075	1735
亏	kuī	lose, fail; damage; deficient	二 7.1	3	5	25	1738
寂	jì	still, silent, quiet, desolate	宀 40.8	11	5	2454	1739
煤	méi	coal, coke, charcoal, carbon	火 86.9	13	5	3003	1740
恭	gōng	respectful, polite, reverent	心 61.6	10	5	1820	1742
湿	shī	wet, moist, humid, damp; illness	水 85.9	12	5	2756	1743
秩	zhì	order; orderly; salary; decade	禾 115.5	10	5	1947	1749
宿	sù	stop, rest, lodge, stay overnight; constellation	宀 40.8	11	5	2455	1752
烂	làn	rotten, spoiled, decayed	火 86.5	9	5	1660	1754
抖	dǒu	tremble, shake, rouse; give shake	手 64.4	7	5	648	1757
夹	jiā	be wedged or inserted between	一 1.5	6	5	402	1758
昆	kūn	elder brother; descendants	日 72.4	8	5	1080	1759
猪	zhū	pig, hog, wild boar	犬 94.9	11	5	2365	1762
慎	shèn	act with care, be cautious	心 61.10	13	5	3023	1765
玻	bō	glass	玉 96.5	9	5	1361	1769
齿	chǐ	teeth; gears, cogs; age; simplified form of the KangXi radical number 211	齒 211.0	8	5	1068	1773
押	yā	mortgage, pledge; deposit; to pawn; to arrest, detain, guard	手 64.5	8	5	965	1775
漠	mò	desert; aloof, indifferent, cool	水 85.11	13	5	3006	1777
疲	pí	feel tired, be exhausted; weak	疒 104.5	10	5	2032	1778
醉	zuì	intoxicated, drunk; addicted to	酉 164.8	15	5	3224	1783
拳	quán	fist; various forms of boxing	手 64.6	10	5	2052	1784
斜	xié	slanting, sloping, inclined	斗 68.7	11	5	2347	1786
档	dàng	shelf; frame, crosspiece	木 75.6	10	5	1838	1787
豆	dòu	beans, peas; bean-shaped	豆 151.0	7	5	696	1793
涨	zhǎng	rise in price	水 85.7	10	5	2086	1803
拼	pīn	join together, link, incorporate	手 64.6	9	5	1393	1820
歇	xiē	rest, stop, lodge	欠 76.9	13	5	2908	1828
桃	táo	peach; marriage; surname	木 75.6	10	5	1844	1839
嘉	jiā	excellent; joyful; auspicious	口 30.11	14	5	3056	1845
俊	jùn	talented, capable; handsome	人 9.7	9	5	1578	1847
乙	yǐ	second; 2nd heavenly stem	乙 5.0	1	5	2	1872
妨	fáng	interfere with, impede, obstruct	女 38.4	7	5	922	1873
挣	zhēng	strive, endeavor, struggle	手 64.6	9	5	1391	1875
览	lǎn	look at, inspect; perceive	見 147.5	9	5	1472	1886
璃	lí	glass	玉 96.11	14	5	3051	1894
滴	dī	drip; drop of water	水 85.11	14	5	3165	1896
姿	zī		女 38.6	9	5	1630	1899
丑	chǒu	clown, comedian; 2nd terrestrial branch	一 1.3	4	5	177	1901
劣	liè	bad, inferior; slightly	力 19.4	6	5	416	1902
匹	pǐ	bolt of cloth; counter for horses	匸 23.2	4	5	99	1908
俱	jù	all, together; accompany	人 9.8	10	5	1962	1909
蜂	fēng	bee, wasp, hornet	虫 142.7	13	5	2925	1912
糟	zāo	sediment, dregs; pickle	米 119.11	17	5	3428	1918
谨	jǐn	prudent, cautious; attentive	言 149.11	13	5	3030	1917
苗	miáo	sprouts; Miao nationality	艸 140.5	8	5	1005	1920
肠	cháng	intestines; emotions; sausage	肉 130.3	7	5	807	1921
挡	dǎng	obstruct, impede; stop; resist	手 64.6	9	5	1379	1933
纲	gāng	heavy rope, hawser; main points	糸 120.4	7	5	933	1934
肌	jī	muscle tissue; meat on bones	肉 130.2	6	5	495	1935
膀	bǎng	upper arm; shoulder; wing	肉 130.10	14	5	3134	1941
卧	wò	lie down; crouch	臣 131.2	8	5	1037	1944
欠	qiàn	owe, lack, be deficient; KangXi radical number 76	欠 76.0	4	5	153	1948
夸	kuā	extravagant, luxurious; handsome	大 37.3	6	5	395	1955
豫	yù	relaxed, comfortable, at ease	豕 152.9	15	5	3313	1956
胃	wèi	stomach; gizzard of fowl	肉 130.5	9	5	1494	1957
睁	zhēng	open eyes; stare	目 109.6	11	5	2261	1963
铃	líng	bell	金 167.5	10	5	1933	1969
吻	wěn	kiss; the lips; coinciding	口 30.4	7	5	743	1973
脆	cuì	crisp; fragile, frail; brittle	肉 130.6	10	5	1994	1976
柴	chái	firewood, faggots, fuel	木 75.5	10	5	1880	1981
绳	shéng	rope, string, cord; control	糸 120.8	11	5	2491	1983
眠	mián	close eyes, sleep; hibernate	目 109.5	10	5	1888	1986
傻	shǎ	foolish, silly, stupid; an imbecile	人 9.11	13	5	2960	1989
扇	shàn	fan; door panel	戶 63.6	10	5	2113	1993
柜	guì	cabinet, cupboard; shop counter	木 75.5	8	5	1022	1994
拦	lán	obstruct, impede, bar, hinder	手 64.5	8	5	982	1996
夕	xī	evening, night, dusk; slanted	夕 36.0	3	5	46	2003
姻	yīn	relatives by marriage	女 38.6	9	5	1738	2007
氛	fēn	gas, vapor, air	气 84.4	8	5	1124	2009
蜜	mì	honey; sweet; nectar	虫 142.8	14	5	3175	2014
摘	zhāi	pluck, pick; select; specify	手 64.11	14	5	3062	2026
披	pī	wear; split; crack	手 64.5	8	5	990	2032
辅	fǔ	cheek bone; protective; assist	車 159.7	11	5	2250	2033
盆	pén	basin, tub, pot, bowl	皿 108.4	9	5	1590	2035
吵	chǎo	argue, dispute; disturb, annoy	口 30.4	7	5	735	2040
嗯	ń	final particle	口 30.10	13	5	5467	2042
骤	zhòu	procedure; gallop; sudden(ly)	馬 187.14	17	5	3436	2045
漏	lòu	leak, drip; funnel; hour glass	水 85.11	14	5	3168	2052
悠	yōu	long, far, remote, distant; liesurely	心 61.7	11	5	2326	2055
滩	tān	bank, a sandbar, shoal; rapids	水 85.10	13	5	3022	2062
