鹹	咸	xián	salted/salty/stingy/miserly
腌鹹	腌咸	yān xián	to pickle with salt
鹹水	咸水	xián shuǐ	salt water/brine
鹹水妹	咸水妹	xián shuǐ mèi	(dialect) prostitute from Guangdong (esp. one in Shanghai before the Revolution) (loanword from "handsome maid")
鹹水湖	咸水湖	xián shuǐ hú	salt lake
鹹津津	咸津津	xián jīn jīn	nice and salty (taste)
鹹津津兒	咸津津儿	xián jīn jīn r5	erhua variant of 鹹津津|咸津津[xián jīn jīn]
鹹海	咸海	Xián Hǎi	Aral Sea
鹹淡	咸淡	xián dàn	salty and unsalty (flavors)/degree of saltiness/brackish (water)
鹹澀	咸涩	xián sè	salty and bitter/acerbic
鹹濕	咸湿	xián shī	(Tw) (coll.) obscene/pornographic
鹹絲絲	咸丝丝	xián sī sī	slightly salty
鹹絲絲兒	咸丝丝儿	xián sī sī r5	erhua variant of 鹹絲絲|咸丝丝[xián sī sī]
鹹肉	咸肉	xián ròu	bacon/salt-cured meat
鹹菜	咸菜	xián cài	salted vegetables/pickles
鹹豬手	咸猪手	xián zhū shǒu	pervert (esp. one who gropes women in public)
鹹酥雞	咸酥鸡	xián sū jī	fried chicken pieces with salt and pepper/Taiwan-style fried chicken
鹹魚	咸鱼	xián yú	salted fish
鹹魚翻身	咸鱼翻身	xián yú fān shēn	lit. the salted fish turns over (idiom)/fig. to experience a reversal of fortune
鹹鴨蛋	咸鸭蛋	xián yā dàn	salted duck egg
鹹鹽	咸盐	xián yán	salt (colloquial)/table salt
