詳	详	xiáng	detailed/comprehensive
作者不詳	作者不详	zuò zhě bù xiáng	anonymous author
作者未詳	作者未详	zuò zhě wèi xiáng	anonymous author
內詳	内详	nèi xiáng	name and address of the sender enclosed/details inside
參詳	参详	cān xiáng	to collate and examine critically (texts etc)
周詳	周详	zhōu xiáng	meticulous/thorough/comprehensive/complete/detailed
安詳	安详	ān xiáng	serene
推詳	推详	tuī xiáng	to study in detail
未詳	未详	wèi xiáng	unknown/unclear
端詳	端详	duān xiáng	full details/full particulars
端詳	端详	duān xiang	to look over carefully/to scrutinize
耳熟能詳	耳熟能详	ěr shú néng xiáng	what's frequently heard can be repeated in detail (idiom)
不詳	不详	bù xiáng	not in detail/not quite clear
詳備	详备	xiáng bèi	detailed
詳和	详和	xiáng hé	serene/calm
詳夢	详梦	xiáng mèng	to analyze dreams (for fortune-telling)
詳密	详密	xiáng mì	detailed/meticulous
詳實	详实	xiáng shí	detailed and reliable/full and accurate
詳情	详情	xiáng qíng	details/particulars
詳略	详略	xiáng lüè	concise/the details in brief
詳盡	详尽	xiáng jìn	thorough and detailed/exhaustive/the tedious details in full
詳盡無遺	详尽无遗	xiáng jìn wú yí	exhaustive/thorough
詳細	详细	xiáng xì	detailed/in detail/minute
詳見	详见	xiáng jiàn	for further details, refer to
詳解	详解	xiáng jiě	to explain in detail/detailed answer/full solution (to a math problem)
詳述	详述	xiáng shù	to recount
語焉不詳	语焉不详	yǔ yān bù xiáng	to mention sth without elaborating (idiom); not giving details
願聞其詳	愿闻其详	yuàn wén qí xiáng	I'd like to hear the details
